field_name,Date,Location,Disturbance,Collector,Moonlight,Forest_cover,Height,Tree_Height,Wind,Rain,Temperature,Humidity,Ae_orb_count,An_ait_count,An_bar_count,An_sp_count,An_bal_count,An_lat_count,An_maca_count,An_macu_count,An_wat_count,Arm_co_count,Arm_ju_count,Arm_sp_count,Col_pse_count,Coq_cr_count,Cx_sit_count,Cx_vis_count,Cx_Lop_count,Do_gan_count,Pr_ost_count,Ph_pro_count,Stg_al_count,Stg_sp_count,Ve_sp_count
1,08/04/2014,E_652,Twice,M,60.6,76.11,Ground,26.9,None,None,26.08,99.37,0,3,0,2,23,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
2,08/04/2014,E_652,Twice,H,60.6,76.11,Canopy,26.9,None,None,26.1,92.54,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10/04/2014,E_652,Twice,H,86,76.11,Ground,26.9,Low,Low,27.58,98.6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4,10/04/2014,E_652,Twice,M,86,76.11,Canopy,26.9,Low,Low,27.48,92.53,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12/04/2014,E_652,Twice,H,92.3,76.11,Ground,26.9,None,Low,22.89,98.62,0,0,0,0,34,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/04/2014,E_652,Twice,Z,92.3,76.11,Canopy,26.9,None,Low,23.35,92.53,0,0,0,1,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,21/04/2014,E_650,Twice,H,66.5,76.93,Ground,23.9,Medium,None,23.64,98.62,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,21/04/2014,E_650,Twice,M,66.5,76.93,Canopy,23.9,Medium,None,25.48,91.36,0,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,22/04/2014,E_650,Twice,M,54.8,76.93,Ground,23.9,None,None,25.89,97.13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,22/04/2014,E_650,Twice,H,54.8,76.93,Canopy,23.9,None,None,26.35,85.01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,23/04/2014,E_650,Twice,H,42.9,76.93,Ground,23.9,None,None,25.26,94.88,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,23/04/2014,E_650,Twice,Z,42.9,76.93,Canopy,23.9,None,None,25.6,91.33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,24/04/2014,E_650,Twice,Z,31.4,76.93,Ground,23.9,Low,Medium,24.95,99.7,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,24/04/2014,E_650,Twice,H,31.4,76.93,Canopy,23.9,Low,Medium,24.85,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,07/05/2014,VJR_768,VJR,M,53,89.11,Ground,39.4,None,None,25.2,85.5,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,07/05/2014,VJR_768,VJR,H,53,89.11,Canopy,39.4,None,None,27.04,71.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,08/05/2014,VJR_768,VJR,H,62.8,89.11,Ground,39.4,None,None,25.83,94.63,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
