"","date","trap_N","block","family"
"1","17/06/12",1,"A","Carabidae"
"2","17/06/12",1,"A","Leiodidae"
"3","17/06/12",1,"A","Staphylinidae"
"4","17/06/12",1,"A","Staphylinidae"
"5","17/06/12",1,"A","Staphylinidae"
"6","17/06/12",1,"A","Scarabaeidae"
"7","17/06/12",1,"A","Curculionidae"
"8","17/06/12",1,"A","Curculionidae"
"9","17/06/12",1,"A","Curculionidae"
"10","17/06/12",1,"A","Curculionidae"
"11","17/06/12",1,"A","Curculionidae"
"12","17/06/12",1,"A","Curculionidae"
"13","17/06/12",1,"A","Curculionidae"
"14","17/06/12",1,"A","Curculionidae"
"15","17/06/12",1,"A","Curculionidae"
"16","17/06/12",1,"A","Curculionidae"
"17","17/06/12",1,"A","Curculionidae"
"18","17/06/12",1,"A","Curculionidae"
"19","17/06/12",1,"A","Curculionidae"
"20","17/06/12",1,"A","Curculionidae"
"21","17/06/12",1,"A","Curculionidae"
"22","17/06/12",1,"A","Curculionidae"
"23","17/06/12",1,"A","Curculionidae"
"24","17/06/12",1,"A","Curculionidae"
"25","17/06/12",1,"A","Curculionidae"
"26","17/06/12",1,"A","Curculionidae"
"27","17/06/12",1,"A","Curculionidae"
"28","17/06/12",1,"A","Curculionidae"
"29","17/06/12",1,"A","Curculionidae"
"30","17/06/12",1,"A","Curculionidae"
"31","17/06/12",1,"A","Endomychidae"
"32","02/03/13",1,"A","Elateridae"
"33","02/03/13",1,"A","Curculionidae"
"34","02/03/13",1,"A","Elateridae"
"35","17/06/12",1,"A","Eucnemidae"
"36","17/06/12",1,"A","Mordelidae"
"37","22/02/11",1,"A","Carabidae"
"44","19/11/11",1,"A","Carabidae"
"45","19/11/11",1,"A","Curculionidae"
"46","19/11/11",1,"A","Curculionidae"
"47","19/11/11",1,"A","Leiodidae"
"48","22/02/11",1,"A","Staphylinidae"
"49","22/02/11",1,"A","Staphylinidae"
"50","22/02/11",1,"A","Staphylinidae"
"51","22/02/11",1,"A","Staphylinidae"
"52","22/02/11",1,"A","Staphylinidae"
"53","02/11/11",1,"A","Staphylinidae"
"54","02/11/11",1,"A","Staphylinidae"
"55","02/11/11",1,"A","Staphylinidae"
"56","02/11/11",1,"A","Staphylinidae"
"57","02/11/11",1,"A","Staphylinidae"
"58","02/11/11",1,"A","Staphylinidae"
"59","02/11/11",1,"A","Staphylinidae"
"60","02/11/11",1,"A","Staphylinidae"
"61","17/06/12",1,"A","Staphylinidae"
"62","02/03/13",2,"A","Anthicidae"
"63","02/03/13",2,"A","Staphylinidae"
"64","02/03/13",2,"A","Carabidae"
"65","02/03/13",2,"A","Leiodidae"
"66","02/03/13",2,"A","Curculionidae"
"67","17/06/12",2,"A","Carabidae"
"68","17/06/12",2,"A","Carabidae"
"69","17/06/12",2,"A","Carabidae"
"70","17/06/12",2,"A","Anthicidae"
"75","02/03/13",2,"A","Carabidae"
"82","19/11/11",2,"A","Scarabaeidae"
"83","02/11/11",2,"A","Staphylinidae"
"84","02/11/11",2,"A","Staphylinidae"
"85","02/11/11",2,"A","Staphylinidae"
"86","02/11/11",2,"A","Staphylinidae"
"87","02/11/11",2,"A","Staphylinidae"
"88","02/11/11",2,"A","Staphylinidae"
"89","02/11/11",2,"A","Staphylinidae"
"90","02/11/11",2,"A","Staphylinidae"
"91","02/11/11",2,"A","Staphylinidae"
"92","02/11/11",2,"A","Staphylinidae"
"93","02/11/11",2,"A","Staphylinidae"
"94","02/11/11",2,"A","Staphylinidae"
"95","02/11/11",2,"A","Staphylinidae"
"96","17/06/12",2,"A","Staphylinidae"
"97","17/06/12",2,"A","Staphylinidae"
"98","17/06/12",3,"A","Anthicidae"
"99","17/06/12",3,"A","Tenebrionidae"
"100","17/06/12",3,"A","Leiodidae"
"101","17/06/12",3,"A","Leiodidae"
"102","17/06/12",3,"A","Leiodidae"
"103","17/06/12",3,"A","Nitidulidae"
"104","17/06/12",3,"A","Curculionidae"
"105","17/06/12",3,"A","Staphylinidae"
"106","17/06/12",3,"A","Tenebrionidae"
"107","17/06/12",3,"A","Eucnemidae"
"108","17/06/12",3,"A","Tenebrionidae"
"109","19/11/11",3,"A","Scarabaeidae"
"110","19/11/11",3,"A","Scarabaeidae"
"111","19/11/11",3,"A","Scarabaeidae"
"112","19/11/11",3,"A","Carabidae"
"113","19/11/11",3,"A","Carabidae"
"114","19/11/11",3,"A","Dytiscidae"
"115","19/11/11",3,"A","Dytiscidae"
"130","19/11/11",3,"A","Curculionidae"
"131","02/11/11",3,"A","Staphylinidae"
"132","02/11/11",3,"A","Staphylinidae"
"133","02/11/11",3,"A","Staphylinidae"
"134","02/11/11",3,"A","Staphylinidae"
"135","02/11/11",3,"A","Staphylinidae"
"136","02/11/11",3,"A","Staphylinidae"
"137","02/11/11",3,"A","Staphylinidae"
"138","02/11/11",3,"A","Staphylinidae"
"139","02/11/11",3,"A","Staphylinidae"
"140","02/11/11",3,"A","Staphylinidae"
"141","02/11/11",3,"A","Staphylinidae"
"142","02/11/11",3,"A","Staphylinidae"
"143","02/11/11",3,"A","Staphylinidae"
"144","17/06/12",3,"A","Staphylinidae"
"145","17/06/12",3,"A","Staphylinidae"
"146","17/06/12",3,"A","Staphylinidae"
"147","17/06/12",3,"A","Staphylinidae"
"148","17/06/12",3,"A","Staphylinidae"
"149","17/06/12",4,"A","Carabidae"
"150","17/06/12",4,"A","Curculionidae"
"151","17/06/12",4,"A","Leiodidae"
"152","17/06/12",4,"A","Tenebrionidae"
"153","17/06/12",4,"A","Biphyllidae"
"154","17/06/12",4,"A","Curculionidae"
"155","17/06/12",4,"A","Curculionidae"
"156","17/06/12",4,"A","Curculionidae"
"157","17/06/12",4,"A","Curculionidae"
"158","02/03/13",4,"A","Leiodidae"
"159","02/03/13",4,"A","Carabidae"
"160","22/02/11",4,"A","Curculionidae"
"161","22/02/11",4,"A","Curculionidae"
"162","22/02/11",4,"A","Curculionidae"
"163","19/11/11",4,"A","Curculionidae"
"169","22/02/11",4,"A","Staphylinidae"
"170","22/02/11",4,"A","Staphylinidae"
"171","22/02/11",4,"A","Staphylinidae"
"172","02/11/11",4,"A","Staphylinidae"
"173","02/11/11",4,"A","Staphylinidae"
"174","02/11/11",4,"A","Staphylinidae"
"175","02/11/11",4,"A","Staphylinidae"
"176","02/11/11",4,"A","Staphylinidae"
"177","02/11/11",4,"A","Staphylinidae"
"178","02/11/11",4,"A","Staphylinidae"
"179","02/11/11",4,"A","Staphylinidae"
"180","02/11/11",4,"A","Staphylinidae"
"181","02/11/11",4,"A","Staphylinidae"
"182","02/11/11",4,"A","Staphylinidae"
"183","02/11/11",4,"A","Staphylinidae"
"184","02/11/11",4,"A","Staphylinidae"
"185","17/06/12",4,"A","Staphylinidae"
"186","17/06/12",4,"A","Staphylinidae"
"187","17/06/12",4,"A","Staphylinidae"
"188","17/06/12",4,"A","Staphylinidae"
"189","17/06/12",5,"A","Leptodiridae"
"190","17/06/12",5,"A","Curculionidae"
"191","02/03/13",5,"A","Biphyllidae"
"192","02/03/13",5,"A","Scarabaeidae"
"193","19/11/11",5,"A","Curculionidae"
"195","19/11/11",5,"A","Curculionidae"
"196","19/11/11",5,"A","Curculionidae"
"197","19/11/11",5,"A","Scarabaeidae"
"198","02/11/11",5,"A","Staphylinidae"
"199","02/11/11",5,"A","Staphylinidae"
"200","02/11/11",5,"A","Staphylinidae"
"201","02/11/11",5,"A","Staphylinidae"
"202","02/11/11",5,"A","Staphylinidae"
"203","02/11/11",5,"A","Staphylinidae"
"204","02/11/11",5,"A","Staphylinidae"
"205","02/11/11",5,"A","Staphylinidae"
"206","02/11/11",5,"A","Staphylinidae"
"207","02/11/11",5,"A","Staphylinidae"
"208","02/11/11",5,"A","Staphylinidae"
"209","02/11/11",5,"A","Staphylinidae"
