Forest type,Plot,Core,Data type,Date,Date of previous collection,Days between collections,"CoarseRoots, Mg C ha-1 year-1","FineRoots, Mg C ha-1 year-1",Remarsk
Logged,Tower,1,Stock,20/07/2011,,,5.07969526701633,1.83691469018305,
Logged,Tower,2,Stock,20/07/2011,,,3.96561066537306,0.63927462429235,
Logged,Tower,3,Stock,20/07/2011,,,0,0.480905190508086,
Logged,Tower,4,Stock,20/07/2011,,,2.24143211521086,2.18877639687725,
Logged,Tower,5,Stock,20/07/2011,,,1.43239448782706,2.4759401875547,
Logged,Tower,6,Stock,20/07/2011,,,0.251995326562168,1.36811545260035,
Logged,Tower,7,Stock,20/07/2011,,,0.468622887992803,4.0142147471147,
Logged,Tower,8,Stock,20/07/2011,,,0.145892031167571,1.84199750193635,
Logged,Tower,9,Stock,20/07/2011,,,0.839984421873892,1.37990253321957,
Logged,Tower,10,Stock,20/07/2011,,,0,1.35599235622136,
Logged,Tower,11,Stock,20/07/2011,,,2.57742588396042,2.25201098734003,
Logged,Tower,12,Stock,20/07/2011,,,0,7.25718429757719,
Logged,Tower,13,Stock,20/07/2011,,,0,2.92959940655627,
Logged,Tower,14,Stock,20/07/2011,,,1.41028963461985,3.25416487905187,
Logged,Tower,15,Stock,20/07/2011,,,0,1.186486068285,
Logged,Tower,16,Stock,20/07/2011,,,0.636619772367581,1.64294005975431,
Logged,E,1,Stock,23/07/2011,,,1.73744146208652,4.2857705297688,
Logged,E,2,Stock,23/07/2011,,,0,2.45959445033147,
Logged,E,3,Stock,23/07/2011,,,1.68881078503067,3.99434703401172,
Logged,E,4,Stock,23/07/2011,,,1.87007058132977,3.3248836231867,
Logged,E,5,Stock,23/07/2011,,,14.6776225295859,4.24928857383748,
Logged,E,6,Stock,23/07/2011,,,11.4635768732579,7.64389272262342,
Logged,E,7,Stock,23/07/2011,,,0,0.626391921214386,
Logged,E,8,Stock,23/07/2011,,,0,2.17354029221359,
Logged,E,9,Stock,23/07/2011,,,0,0.420430551174426,
Logged,E,10,Stock,23/07/2011,,,0,6.96184965357528,
Logged,E,11,Stock,23/07/2011,,,0.74714403840362,1.9652313279103,
Logged,E,12,Stock,23/07/2011,,,1.31744925114958,6.59675401364911,
Logged,E,13,Stock,23/07/2011,,,0,1.8453672260265,
Logged,E,14,Stock,23/07/2011,,,0,1.32502288816801,
Logged,E,15,Stock,23/07/2011,,,1.78165116850094,1.49755379054989,
Logged,E,16,Stock,23/07/2011,,,5.68978921553526,5.89431418695407,
Old-growth,Belian,1,Stock,20/08/2011,,,12.9976536858381,4.35256611771441,
Old-growth,Belian,2,Stock,20/08/2011,,,1.51639293001445,1.38291920015417,
Old-growth,Belian,3,Stock,20/08/2011,,,2.51111132433879,4.29933064086388,
Old-growth,Belian,4,Stock,20/08/2011,,,10.6722231284399,2.68753834950726,
Old-growth,Belian,5,Stock,20/08/2011,,,0.884194128288307,1.22437099872835,
Old-growth,Belian,6,Stock,20/08/2011,,,0.570305212745959,0.554080018031692,
Old-growth,Belian,7,Stock,20/08/2011,,,5.59252786142354,3.53842139795615,
Old-growth,Belian,8,Stock,20/08/2011,,,6.33525092918572,2.24798996285549,
Old-growth,Belian,9,Stock,20/08/2011,,,5.27421797523976,2.00268194387611,
Old-growth,Belian,10,Stock,20/08/2011,,,7.70133085739116,3.82005591462739,
Old-growth,Belian,11,Stock,20/08/2011,,,1.78165116850094,0.72512874865545,
Old-growth,Belian,12,Stock,20/08/2011,,,4.18665919744514,2.13501460975929,
Old-growth,Belian,13,Stock,20/08/2011,,,5.38032127063435,3.12880855973129,
Old-growth,Belian,14,Stock,20/08/2011,,,4.29718346348118,3.09639423942276,
Old-growth,Belian,15,Stock,20/08/2011,,,6.05672977877491,1.99062698582468,
Old-growth,Belian,16,Stock,20/08/2011,,,1.12292654292615,1.91358765105365,
Logged,B South,1,Stock,19/09/2011,,,1.45892031167571,0.800192297480592,
Logged,B South,2,Stock,19/09/2011,,,0.658724625574789,1.0795424420001,
Logged,B South,3,Stock,19/09/2011,,,0.636619772367581,1.139993238801,
Logged,B South,4,Stock,19/09/2011,,,2.4050080289442,1.31078525361928,
Logged,B South,5,Stock,19/09/2011,,,1.94522708223428,2.20686978016875,
Logged,B South,6,Stock,19/09/2011,,,2.74984373897664,1.09479238160969,
Logged,B South,7,Stock,19/09/2011,,,0.411150269654063,0.678929421349216,
Logged,B South,8,Stock,19/09/2011,,,9.18677699291552,1.55304053524327,
Logged,B South,9,Stock,19/09/2011,,,4.32370928732982,3.77392149660331,
Logged,B South,10,Stock,19/09/2011,,,0.291784062335141,1.07098355721975,
Logged,B South,11,Stock,19/09/2011,,,0.857668304439658,0.588941583111671,
Logged,B South,12,Stock,19/09/2011,,,9.30614320023444,2.28048210189979,
Logged,B South,13,Stock,19/09/2011,,,0.80461665674236,1.19931805500251,
Logged,B South,14,Stock,19/09/2011,,,1.29976536858381,1.46980819477796,
Logged,B South,15,Stock,19/09/2011,,,4.40328675887577,3.19117354235398,
Logged,B South,16,Stock,19/09/2011,,,2.12206590789194,1.62718124677397,
Logged,B North,1,Stock,11/10/2011,,,0.654303654933347,0.877995344172811,
Logged,B North,2,Stock,11/10/2011,,,0,0.218785051921172,
Logged,B North,3,Stock,11/10/2011,,,0.685250449423439,0.815353844707443,
Logged,B North,4,Stock,11/10/2011,,,0,0.125577498486312,
Logged,B North,5,Stock,11/10/2011,,,0.583568124670283,0.449303969286409,
Logged,B North,6,Stock,11/10/2011,,,6.45903810714609,1.89031608184512,
Logged,B North,7,Stock,11/10/2011,,,1.20692498511354,1.32462767540622,
Logged,B North,8,Stock,11/10/2011,,,0,0.109469988840177,
Logged,B North,9,Stock,11/10/2011,,,0.137050089884688,0.722521940422331,
Logged,B North,10,Stock,11/10/2011,,,1.43239448782706,2.15996273328627,
Logged,B North,11,Stock,11/10/2011,,,10.4644375082921,1.80628944066794,
Logged,B North,12,Stock,11/10/2011,,,10.322966447766,3.18664198656437,
Logged,B North,13,Stock,11/10/2011,,,1.07871683651174,1.43229931609688,
Logged,B North,14,Stock,11/10/2011,,,3.76224601586675,0.94878151068369,
Logged,B North,15,Stock,11/10/2011,,,5.62347465591364,1.74152190537934,
Logged,B North,16,Stock,11/10/2011,,,0.893036069571191,1.50393839936184,
Old-growth,Seraya,1,Stock,16/10/2011,,,3.96118969473162,1.36433517040236,
Old-growth,Seraya,2,Stock,16/10/2011,,,2.13532881981626,0.723703613260441,
Old-growth,Seraya,3,Stock,16/10/2011,,,10.2787567413516,1.38599137704732,
Old-growth,Seraya,4,Stock,16/10/2011,,,8.9834123434092,2.08950466474841,
Old-growth,Seraya,5,Stock,16/10/2011,,,3.47046195353161,2.87929315909065,
Old-growth,Seraya,6,Stock,16/10/2011,,,5.17695662112804,1.05894139342691,
Old-growth,Seraya,7,Stock,16/10/2011,,,5.82241833477851,1.82040519810032,
Old-growth,Seraya,8,Stock,16/10/2011,,,1.4898671061658,1.50023089142488,
Old-growth,Seraya,9,Stock,16/10/2011,,,1.13618945485048,0.755740185751103,
Old-growth,Seraya,10,Stock,16/10/2011,,,4.2573947277082,0.83479408396585,
Old-growth,Seraya,11,Stock,16/10/2011,,,6.29104122277131,2.28795801102447,
Old-growth,Seraya,12,Stock,16/10/2011,,,7.87374871240738,2.76190826717687,
Old-growth,Seraya,13,Stock,16/10/2011,,,0.68967142006488,0.539597457477097,
Old-growth,Seraya,14,Stock,16/10/2011,,,8.11248112704522,0.401835967218058,
Old-growth,Seraya,15,Stock,16/10/2011,,,3.69151048560368,1.74052185435707,
Old-growth,Seraya,16,Stock,16/10/2011,,,0.40230832837118,1.02750938244552,
