Forest type,Plot,Collection date,Date of the previous collection,Number of days between collections,Trap,"Trap size, m2",Leaves,Twigs,Fruit,Flower,Seed,Miscellaneous,Remarks,"Leaves, Mg C ha-1 year-1","Twigs, Mg C ha-1 year-1","Fruit, Mg C ha-1 year-1","Flower, Mg C ha-1 year-1","Seed, Mg C ha-1 year-1","Miscellaneous, Mg C ha-1 year-1","Reproductive, total, Mg C ha-1 year-1","Total, Mg C ha-1 year-1"
Logged,B North,11/11/2011,12/10/2011,30,1,0.25,11.61,1.7,0,0,0,0.26,,2.8251,0.413666666666667,0,0,0,0.063266666666667,0,3.30203333333333
Logged,B North,11/11/2011,12/10/2011,30,2,0.25,16.78,0.16,0,0,0,0.38,,4.08313333333333,0.038933333333333,0,0,0,0.092466666666667,0,4.21453333333333
Logged,B North,11/11/2011,12/10/2011,30,3,0.25,0.26,0,0,0.06,0,0,,0.063266666666667,0,0,0.0146,0,0,0.0146,0.077866666666667
Logged,B North,11/11/2011,12/10/2011,30,4,0.25,13.79,1.34,0,0,0,0.23,,3.35556666666667,0.326066666666667,0,0,0,0.055966666666667,0,3.7376
Logged,B North,11/11/2011,12/10/2011,30,5,0.25,0.11,0,0,0,0,0,,0.026766666666667,0,0,0,0,0,0,0.026766666666667
Logged,B North,11/11/2011,12/10/2011,30,6,0.25,0.58,0,0,0,0,0,,0.141133333333333,0,0,0,0,0,0,0.141133333333333
Logged,B North,11/11/2011,12/10/2011,30,7,0.25,6.27,2.09,0,0.69,0,0,,1.5257,0.508566666666667,0,0.1679,0,0,0.1679,2.20216666666667
Logged,B North,11/11/2011,12/10/2011,30,8,0.25,3.97,2.63,0,0,0,0,,0.966033333333333,0.639966666666667,0,0,0,0,0,1.606
Logged,B North,11/11/2011,12/10/2011,30,9,0.25,6.17,0.22,0,0,0,0,,1.50136666666667,0.053533333333333,0,0,0,0,0,1.5549
Logged,B North,11/11/2011,12/10/2011,30,10,0.25,32.22,0.23,0.14,0,0,0,,7.8402,0.055966666666667,0.034066666666667,0,0,0,0.034066666666667,7.93023333333333
Logged,B North,11/11/2011,12/10/2011,30,11,0.25,0.12,0,0,0,0,0,,0.0292,0,0,0,0,0,0,0.0292
Logged,B North,11/11/2011,12/10/2011,30,12,0.25,6.63,1.04,0,0,0,0,,1.6133,0.253066666666667,0,0,0,0,0,1.86636666666667
Logged,B North,11/11/2011,12/10/2011,30,13,0.25,23.81,2.62,0,0,0,0,,5.79376666666667,0.637533333333333,0,0,0,0,0,6.4313
Logged,B North,11/11/2011,12/10/2011,30,14,0.25,4.51,0.39,0,0,0,0.49,,1.09743333333333,0.0949,0,0,0,0.119233333333333,0,1.31156666666667
Logged,B North,11/11/2011,12/10/2011,30,15,0.25,7.39,0.18,0,1.16,0,0,,1.79823333333333,0.0438,0,0.282266666666667,0,0,0.282266666666667,2.1243
Logged,B North,11/11/2011,12/10/2011,30,16,0.25,1.13,0.2,0,0,0,0,,0.274966666666667,0.048666666666667,0,0,0,0,0,0.323633333333333
Logged,B North,11/11/2011,12/10/2011,30,17,0.25,6.36,0,0,0,0,0.88,,1.5476,0,0,0,0,0.214133333333333,0,1.76173333333333
Logged,B North,11/11/2011,12/10/2011,30,18,0.25,24.22,1.61,0,0,0,0,,5.89353333333333,0.391766666666667,0,0,0,0,0,6.2853
Logged,B North,11/11/2011,12/10/2011,30,19,0.25,3.87,0.35,0,0.21,0,0,,0.9417,0.085166666666667,0,0.0511,0,0,0.0511,1.07796666666667
Logged,B North,11/11/2011,12/10/2011,30,20,0.25,5.99,0.05,0,0,0,0,,1.45756666666667,0.012166666666667,0,0,0,0,0,1.46973333333333
Logged,B North,11/11/2011,12/10/2011,30,21,0.25,15.09,0.59,0,0.03,0,0.26,,3.6719,0.143566666666667,0,0.0073,0,0.063266666666667,0.0073,3.88603333333333
Logged,B North,11/11/2011,12/10/2011,30,22,0.25,12.44,0.36,0,0,0,0.01,,3.02706666666667,0.0876,0,0,0,0.002433333333333,0,3.1171
Logged,B North,11/11/2011,12/10/2011,30,23,0.25,3.8,0.19,0,0,0,0,,0.924666666666667,0.046233333333333,0,0,0,0,0,0.9709
Logged,B North,11/11/2011,12/10/2011,30,24,0.25,6.01,0.11,0,0,0,0.09,,1.46243333333333,0.026766666666667,0,0,0,0.0219,0,1.5111
Logged,B North,11/11/2011,12/10/2011,30,25,0.25,4.35,0.98,0,0,0,0,,1.0585,0.238466666666667,0,0,0,0,0,1.29696666666667
Logged,E,14/11/2011,01/11/2011,13,1,0.25,5.2,2.96,0,0,0,0,,2.92,1.66215384615385,0,0,0,0,0,4.58215384615385
Logged,E,14/11/2011,01/11/2011,13,2,0.25,7.15,0,0,0,0,0.64,,4.015,0,0,0,0,0.359384615384615,0,4.37438461538462
Logged,E,14/11/2011,01/11/2011,13,3,0.25,1.4,0.19,0,0.1,0,0,,0.786153846153846,0.106692307692308,0,0.056153846153846,0,0,0.056153846153846,0.949
Logged,E,14/11/2011,01/11/2011,13,4,0.25,8.76,0,0,0.92,0,0,,4.91907692307692,0,0,0.516615384615385,0,0,0.516615384615385,5.43569230769231
Logged,E,14/11/2011,01/11/2011,13,5,0.25,9.36,0.65,0,0,0,0,,5.256,0.365,0,0,0,0,0,5.621
Logged,E,14/11/2011,01/11/2011,13,6,0.25,16.09,6.2,0.08,0,0,1.59,,9.03515384615385,3.48153846153846,0.044923076923077,0,0,0.892846153846154,0.044923076923077,13.4544615384615
Logged,E,14/11/2011,01/11/2011,13,7,0.25,3.49,1.46,0,0.08,0,0,,1.95976923076923,0.819846153846154,0,0.044923076923077,0,0,0.044923076923077,2.82453846153846
Logged,E,14/11/2011,01/11/2011,13,8,0.25,16.95,0,0,0.12,0,0.18,,9.51807692307692,0,0,0.067384615384615,0,0.101076923076923,0.067384615384615,9.68653846153846
Logged,E,14/11/2011,01/11/2011,13,9,0.25,4.02,1.49,0,0.34,0,0.27,,2.25738461538462,0.836692307692308,0,0.190923076923077,0,0.151615384615385,0.190923076923077,3.43661538461538
Logged,E,14/11/2011,01/11/2011,13,10,0.25,7.62,2.7,0,0.26,0,0,,4.27892307692308,1.51615384615385,0,0.146,0,0,0.146,5.94107692307692
Logged,E,14/11/2011,01/11/2011,13,11,0.25,7.96,0,0.07,0,0,0,,4.46984615384615,0,0.039307692307692,0,0,0,0.039307692307692,4.50915384615385
Logged,E,14/11/2011,01/11/2011,13,12,0.25,9.34,0.59,0,0.05,0,0.61,,5.24476923076923,0.331307692307692,0,0.028076923076923,0,0.342538461538461,0.028076923076923,5.94669230769231
Logged,E,14/11/2011,01/11/2011,13,13,0.25,8.81,0.22,0,0,0,0.15,,4.94715384615385,0.123538461538462,0,0,0,0.084230769230769,0,5.15492307692308
Logged,E,14/11/2011,01/11/2011,13,14,0.25,1.22,0,0,0,0,0.44,,0.685076923076923,0,0,0,0,0.247076923076923,0,0.932153846153846
Logged,E,14/11/2011,01/11/2011,13,15,0.25,13.19,11.75,0,0,0,0.27,,7.40669230769231,6.59807692307692,0,0,0,0.151615384615385,0,14.1563846153846
Logged,E,14/11/2011,01/11/2011,13,16,0.25,6.86,1.49,0,0,0,0,,3.85215384615385,0.836692307692308,0,0,0,0,0,4.68884615384615
Logged,E,14/11/2011,01/11/2011,13,17,0.25,12.43,2.5,0,0,0,0,,6.97992307692308,1.40384615384615,0,0,0,0,0,8.38376923076923
Logged,E,14/11/2011,01/11/2011,13,18,0.25,16.73,2.92,0.22,0.02,0,0.35,,9.39453846153846,1.63969230769231,0.123538461538462,0.011230769230769,0,0.196538461538462,0.134769230769231,11.3655384615385
Logged,E,14/11/2011,01/11/2011,13,19,0.25,15.67,2.99,0.04,0,0,0.39,,8.79930769230769,1.679,0.022461538461539,0,0,0.219,0.022461538461539,10.7197692307692
Logged,E,14/11/2011,01/11/2011,13,20,0.25,13.91,2.24,0.26,0,0,0,,7.811,1.25784615384615,0.146,0,0,0,0.146,9.21484615384616
Logged,E,14/11/2011,01/11/2011,13,21,0.25,12.71,0.71,0,0.04,0,0.25,,7.13715384615385,0.398692307692308,0,0.022461538461539,0,0.140384615384615,0.022461538461539,7.69869230769231
Logged,E,14/11/2011,01/11/2011,13,22,0.25,6.38,3.42,0,0,0,0.01,,3.58261538461538,1.92046153846154,0,0,0,0.005615384615385,0,5.50869230769231
Logged,E,14/11/2011,01/11/2011,13,23,0.25,6.03,0.48,0,0,0,0,,3.38607692307692,0.269538461538461,0,0,0,0,0,3.65561538461538
Logged,E,14/11/2011,01/11/2011,13,24,0.25,10.43,0,0,0.81,0,0,,5.85684615384615,0,0,0.454846153846154,0,0,0.454846153846154,6.31169230769231
Logged,E,14/11/2011,01/11/2011,13,25,0.25,9.71,0.94,0,0,0,0,,5.45253846153846,0.527846153846154,0,0,0,0,0,5.98038461538462
Old-growth,Belian,22/11/2011,22/10/2011,31,1,0.25,15.96,1.4,0,0,0,3.5,,3.75832258064516,0.329677419354839,0,0,0,0.824193548387097,0,4.9121935483871
Old-growth,Belian,22/11/2011,22/10/2011,31,2,0.25,14.92,6.56,0,0,0,1.16,,3.51341935483871,1.54477419354839,0,0,0,0.273161290322581,0,5.33135483870968
Old-growth,Belian,22/11/2011,22/10/2011,31,3,0.25,24.33,8.21,0,0,0,1.46,,5.72932258064516,1.93332258064516,0,0,0,0.343806451612903,0,8.00645161290323
Old-growth,Belian,22/11/2011,22/10/2011,31,4,0.25,14.65,0.07,0,0,0,0.5,,3.44983870967742,0.016483870967742,0,0,0,0.117741935483871,0,3.58406451612903
Old-growth,Belian,22/11/2011,22/10/2011,31,5,0.25,10.04,5.01,0,0,0,0.51,,2.36425806451613,1.17977419354839,0,0,0,0.120096774193548,0,3.66412903225806
Old-growth,Belian,22/11/2011,22/10/2011,31,6,0.25,10.05,0.1,0,0,0,0,,2.36661290322581,0.023548387096774,0,0,0,0,0,2.39016129032258
Old-growth,Belian,22/11/2011,22/10/2011,31,7,0.25,22.74,1.28,0,0,0,1.49,,5.35490322580645,0.30141935483871,0,0,0,0.350870967741935,0,6.0071935483871
Old-growth,Belian,22/11/2011,22/10/2011,31,8,0.25,18.99,0.06,0,0.19,0,0.89,,4.47183870967742,0.014129032258065,0,0.044741935483871,0,0.20958064516129,0.044741935483871,4.74029032258065
Old-growth,Belian,22/11/2011,22/10/2011,31,9,0.25,28.49,0,0,0,0,0.37,,6.70893548387097,0,0,0,0,0.087129032258065,0,6.79606451612903
Old-growth,Belian,22/11/2011,22/10/2011,31,10,0.25,19.15,0.21,0,0,0,1.12,,4.50951612903226,0.049451612903226,0,0,0,0.263741935483871,0,4.82270967741935
Old-growth,Belian,22/11/2011,22/10/2011,31,11,0.25,10.53,2.05,0,0.68,0,0.6,,2.47964516129032,0.482741935483871,0,0.160129032258065,0,0.141290322580645,0.160129032258065,3.2638064516129
Old-growth,Belian,22/11/2011,22/10/2011,31,12,0.25,20.35,0.28,0,0,0,1.8,,4.79209677419355,0.065935483870968,0,0,0,0.423870967741935,0,5.28190322580645
Old-growth,Belian,22/11/2011,22/10/2011,31,13,0.25,13.48,0.76,0,0,0,0.39,,3.17432258064516,0.178967741935484,0,0,0,0.091838709677419,0,3.44512903225806
Old-growth,Belian,22/11/2011,22/10/2011,31,14,0.25,7.86,2.69,0,0,0,0.19,,1.85090322580645,0.633451612903226,0,0,0,0.044741935483871,0,2.52909677419355
Old-growth,Belian,22/11/2011,22/10/2011,31,15,0.25,16.67,1.99,0,3.48,0,0,,3.92551612903226,0.468612903225806,0,0.819483870967742,0,0,0.819483870967742,5.21361290322581
