Occasion,Date,Trap,Species (LSQ: Low's Squirrel; RBSSQ: Red-bellied Scultor Squirrel; SS: Small Spiny; MR: Muller's; CBS: Chesnut-Bellied Spiny; LETRS: Lesser Treeshrew; STRS: Slender Treeshrew; LGTRS: Large Treeshrew),N or R,Tag no.,Age,Sex,Sexing Notes,HF,E,AGD,HB,T,Tail % of HB,MZ,Bag Weight,Gross Weight,Net Weight,Parasites (number of ectoparasites visible with naked eye),Body Fat,Injuries ,Dead?,Tissue Sample ID,Parasite Sample,Fur sample,Faecal Sample 1,Faecal Sample 2,Processor,Who Baited,Other Notes
D100-1-2011-1,20/08/2011,D100-1-23A,RS,N,O4178159DA,A,M,,41.7,22.4,14.9,,,,,22,137,115,,,,,234,,,,,Ollie,Leah's Team,Trap moved - attacked?
D100-1-2011-1,20/08/2011,D100-1-9B,WH,N,O417815E49,A,F,Perforated,27.05,17.9,8.3,,,,,19,59,40,36,,,,238,,,,,Leah,Leah's Team,
D100-1-2011-1,20/08/2011,D100-1-45A,RS,N,O41781624D,A,M,,39.6,22.3,19.5,,,,,22,138,116,76,,,,232,,,,,Ollie,Ollie's Team,
D100-1-2011-1,20/08/2011,D100-1-15B,RS,N,O417816C49,A,M,Testes (black patch),42.4,23.4,18.55,,,,,19,133,114,44,,,,239,,,,,Leah,Leah's Team,"Thick ankle bands, almost full collar (medium size), white tail tip"
D100-1-2011-1,20/08/2011,D100-1-44B,WH,N,O4178171C8,A,F,,26.85,17.5,8.15,,,,,20,57,37,25,,,,231,,,,,Leah,Ollie's Team,
D100-1-2011-1,20/08/2011,D100-1-39A,RS,N,O4178171O5,A,M,,39.5,23.25,18.15,,,,,21,138,117,95,,Only small bit of tail - old,,228,,,,,Ollie,Ollie's Team,"Thinnish collar, does not meet in middle, ankle bands"
D100-1-2011-1,20/08/2011,D100-1-17B,RR,N,O4178174O3,A,F,Perforated,34.1,18.3,13.05,,,,,19,104,85,6,,,,,,,,,Leah,Leah's Team,
D100-1-2011-1,20/08/2011,D100-1-33A,RS,N,O417817594,A,M?,,42.3,22.7,14.15,,,,,19,123,104,99,,,,227,,,,,Leah,Ollie's Team,"Very thick full collar, thick ankle bands, white tail tip"
D100-1-2011-1,20/08/2011,D100-1-42A,LTG,N,O417817O16,A,F,4 Mammae,45.5,25.3,20.2,,,,,22,383,361,14,,,,230,,,,,Ollie,Ollie's Team,
D100-1-2011-1,20/08/2011,D100-1-19A,SS,N,O41781841C,A,M?,,27.25,17.6,11.2,,,,,19,77,58,114,,"Tip of tail missing (old), tear in R ear",,,,,,,Leah,Ollie's Team,
D100-1-2011-1,20/08/2011,D100-1-12B,WH,N,O4178188C7,A,M,,27.3,15.95,12.2,,,,,21,64,43,30,,,,240,,,,,Ollie,Leah's Team,
D100-1-2011-1,20/08/2011,D100-1-7A,SS,N,O4178188OD,A,F?,,25.9,15.4,7.9,,,,,21,73,52,101,,,,,,,,,Ollie,Ollie's Team,
D100-1-2011-1,20/08/2011,D100-1-14B,RS,N,O417818BD5,A,M,Testes (black patch),42.55,23.5,16.1,,,,,19,153,134,143,,"Tears in L ear, patch of fur missing on back",,241,,,,,Leah,Leah's Team,"Thick ankle bands, thin broken collar, white tail tip"
D100-1-2011-1,20/08/2011,D100-1-40B,LSQ,N,O4178196BB,A,F,,30.3,,5.25,132.9,94.05,,,21,115,94,0,,,,,,,,,Ollie,Ollie's Team,
D100-1-2011-1,20/08/2011,D100-1-11A,WH,N,O417819C91,A,F,,28,18.3,9.75,,,,,19,56,37,22,,,,235,,,,,Leah,Leah's Team,
D100-1-2011-1,20/08/2011,D100-1-46A,SS,N,O417819DCC,A,F?,,27.9,16.9,10.9,,,,,19,71,52,55,,"Tail skinned by ants, started on feet",,,,,,,Leah,Ollie's Team,
D100-1-2011-1,20/08/2011,D100-1-42B,RS,N,O41781A45O,A,M,Testes (black patch),38.15,23.05,18.25,,,,,20,100,80,72,,Half of tail skinned in trap,,229,,,,,Leah,Ollie's Team,"Very thick full collar, very thick ankle bands, underparts very orange"
D100-1-2011-1,20/08/2011,D100-1-8A,RS,N,O41781A9O2,A,F,,38,23,6.2,,,,,21,115,94,114,,,,237,,,,,Ollie,Leah's Team,Reddish tinge to neck
D100-1-2011-1,20/08/2011,D100-1-18A,MR,N,O41781AEA1,A,M,,39.4,20.35,29.9,,,,,22,195,173,,,,,,,,,,Ollie,Leah's Team,
D100-1-2011-1,20/08/2011,D100-1-11B,RS,N,O41781AO2D,A,M,Testes (black patch),40.7,21.85,15.2,,,,,20,122,102,50,,,,236,,,,,Leah,Leah's Team,"Thick ankle bands, no collar, slight tinge only, white tail tip"
D100-1-2011-1,20/08/2011,D100-1-25A,LTG,N,O417O6754E,A,M,Testes (black patch),48.55,24.95,30.6,,,,,20,305,285,30,,,,233,,,,,Leah,Ollie's Team,
D100-1-2011-2,21/08/2011,D100-1-33A,SS,N,NewDead12,A,F,,25.4,16,,,,,,19,60,41,,,"Still moving and alive, but ants had eaten his eyes out - euthanased",Y,,,,,,Leah,Kiel,
D100-1-2011-2,21/08/2011,D100-1-29A,RS,N,O4173BFC38,A,F,,39.75,22.2,10.5,,,,,19,120,101,99,,"Chunks of skin missing on L shoulder and L bum, recent fight? Tears in L ear.",,245,,,,,Leah,Roy,"Thick ankle bands, thick M-shaped collar, white tail tip"
D100-1-2011-2,21/08/2011,D100-1-28A,SS,N,O4173CO3B4,A,M,,28.35,16.65,15.25,,,,,19,74,55,61,,,,,,,,,Leah,Roy,
D100-1-2011-2,21/08/2011,D100-1-10A,WH,R,O417815E49,A,F,,,,,,,,,,,,,,,,,,,,,Kiel,Ollie,
D100-1-2011-2,21/08/2011,D100-1-44A,RS,R,O41781624D,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-2,21/08/2011,D100-1-22B,WH,N,O417816548,A,M,Testes (black patch),27.45,16.95,13.3,,,,,19,55,36,22,,End of tail skinned (new),,244,,,,,Leah,Kiel,
D100-1-2011-2,21/08/2011,D100-1-3A,LTG,N,O417816838,A,F,Perforated and mammae,48.65,26.1,19.7,,,,,19,365,346,25,,,,243,,,,,Leah,Leah,
D100-1-2011-2,21/08/2011,D100-1-16A,RS,R,O417816C49,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Ollie,
D100-1-2011-2,21/08/2011,D100-1-44B,RS,R,O4178171O5,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-2,21/08/2011,D100-1-34A,RS,R,O417817594,A,M?,,,,,,,,,,,,,,,,,,,,,,Kiel,
D100-1-2011-2,21/08/2011,D100-1-21A,SS,R,O41781841C,A,M?,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-2,21/08/2011,D100-1-30A,MR,N,O4178188BA,A,F,"Perforated, mammae",41.35,20.5,15.5,,,,,19,206,187,12,,End of tail missing (old),,,,,,,Leah,Roy,
D100-1-2011-2,21/08/2011,D100-1-6B,SS,R,O4178188OD,A,F?,,,,,,,,,,,,,,,,,,,,,Kiel,Leah,
D100-1-2011-2,21/08/2011,D100-1-12A,WH,N,O417818B67,A,F,,26.5,16.5,8.8,,,,,19,55,36,69,,Tip of tail missing (old),,249,,,,,Leah,Ollie,
D100-1-2011-2,21/08/2011,D100-1-13B,RS,R,O417818BD5,A,M,,,,,,,,,,,,,,,,,,,,,Kiel,Ollie,
D100-1-2011-2,21/08/2011,D100-1-14A,WH,R,O417819C91,A,F,,,,,,,,,,,,,,,,,,,,,Kiel,Ollie,
D100-1-2011-2,21/08/2011,D100-1-20A,WH,N,O41781A1D1,A,M,Testes (black patch),28.65,17.25,14.7,,,,,19,67,48,61,,,,248,,,,,Leah,Kiel,
