Occasion ,Date,Trap ID,Species,N/R,Tag no.,Age,Sex,Sexing Notes,HF,E,AGD,HB,T,Tail % of HB,MZ,Bag Weight (g),Gross Weight,Net Weight,Parasites,Fat Score,Injuries ,Dead,Tissue Sample ID,Parasite Sample ID,Fur Sample ID,Faecal Sample 1,Faecal Sample 2,Processor,Who Baited,Flagged
E100-1-2012-1,07/01/2012,E100-1-25B,WH,N,O4178C38OA,A,F?,,26.1,14.6,5.9,,,,,13,49,36,36,,Missing half of tail (old injury),,432,,,,,Faye,Matt/Denny,
E100-1-2012-1,07/01/2012,E100-1-8A,WH,N,O4178C4137,A,M,Y,26.5,20,15.3,,,,,14,62,48,13,,Death,Y,434,,,,,Matt,Faye/Mathiew,
E100-1-2012-1,07/01/2012,E100-1-41B,RS,N,O4178C42CA,A,F?,,41,23.9,20,,,,,14,143,129,95,,,,431,,,,,Matt,Matt/Denny,
E100-1-2012-1,07/01/2012,E100-1-35A,SS,N,O4178C47BF,A,M,Testes,27.2,17.3,9.8,,,,,14,74,60,39,,,,426,,,,,Matt,Matt/Denny,
E100-1-2012-1,07/01/2012,E100-1-42B,RS,N,O4178C4F18,A,F,,40.1,22.6,6.6,,,,,14,121,107,25,,"Skinned end of tail, chunk missing on L.ear",,429,,,,,Matt,Matt/Denny,
E100-1-2012-1,07/01/2012,E100-1-16B,RS,N,O4178C5255,A,M,,41.3,20.5,22.9,,,,,13,124,111,193,,Lost half of tail in trap spring,,433,,,,,Faye,Faye/Mathiew,
E100-1-2012-1,07/01/2012,E100-1-45B,SS,N,O4178C5A1D,A,F,,25.2,14.4,12.25,,,,,13,64,51,34,,Missing half of tail (old injury),,427,,,,,Faye,Matt/Denny,
E100-1-2012-1,07/01/2012,E100-1-34B,RS,N,O4178C5ECE,A,F,,37.3,21,10.6,,,,,14,109,95,77,,,,424,,,,,Matt,Matt/Denny,
E100-1-2012-1,07/01/2012,E100-1-5B,RS,N,O4178C5O2A,A,M,N,39.4,21,19.3,,,,,14,145,131,58,,,,422,,,,,Matt,Faye/Mathiew,
E100-1-2012-1,07/01/2012,E100-1-47A,RS,N,O4178C64OF,A,F,2 pairs nips,39.6,22.5,10.7,,,,,13,167,154,162,,,,430,,,,,Faye,Matt/Denny,
E100-1-2012-1,07/01/2012,E100-1-46B,RS,N,O4178C69CC,A,M?,,41.4,23.3,19.4,,,,,13,114,101,91,,,,428,,,,,Faye,Matt/Denny,
E100-1-2012-1,07/01/2012,E100-1-34A,WH,N,O4178C84BF,A,M,Testes,27.2,15.8,15.2,,,,,13,58,45,63,,,,423,,,,,Faye,Matt/Denny,
E100-1-2012-1,07/01/2012,E100-1-33B,MR,N,O4178C8O12,SA,M,Testes,38,18.9,29.75,,,,,13,136,123,15,,,,425,,,,,Faye,Matt/Denny,
E100-1-2012-2,08/01/2012,E100-1-35A,SS,N,O4178C31DC,A,F?,,25.4,16,7.8,,,,,14,73,59,27,,1 inch tail,,439,,,,,Matt,Alex,
E100-1-2012-2,08/01/2012,E100-1-24A,SS,N,O4178C33OE,A,M,,26.4,15.8,11.2,,,,,14,79,65,42,,,,,,,,,Matt,Denny,
E100-1-2012-2,08/01/2012,E100-1-12A,RS,N,O4178C3586,A,F,,40.1,24,15.9,,,,,14,142,128,75,,End of tail stumped.,,436,,,,,Matt,Alex,
E100-1-2012-2,08/01/2012,E100-1-21A,RS,N,O4178C4377,A,M?,,38.8,23,20.2,,,,,13,110,97,117,,,,435,,,,,Faye,Denny,
E100-1-2012-2,08/01/2012,E100-1-4A,SS,N,O4178C458B,A,M,,27.4,17.8,11.9,,,,,14,70,56,23,,"Chunk of left ear missing, 1cm tail.",,440,,,,,Matt,Alex,
E100-1-2012-2,08/01/2012,E100-1-3B,RS,N,O4178C5491,A,M,Testes,38.7,23.65,25.9,,,,,13,149,136,210,,,,438,,,,,Faye,Alex,
E100-1-2012-2,08/01/2012,E100-1-16A,SS,N,O4178C5AED,A,M,Testes,26.9,14.1,15.1,,,,,13,72,59,45,,,,437,,,,,Faye,Denny,
E100-1-2012-2,08/01/2012,E100-1-1A,SS,N,O4178C5B97,A,M,Large testes,27.7,16.7,18.2,,,,,13,70,57,86,,,,441,,,,,Faye,Alex,
E100-1-2012-2,08/01/2012,E100-1-33B,MR,R,O4178C8O12,SA,M,,,,,,,,,,,,,,,,,,,,,Matt,Alex,
E100-1-2012-3,09/01/2012,E100-1-41B,WH,N,O41781DB68,A,M,Balls,27.2,16.5,17.1,,,,,14,52,38,10,,,,442,,,,,Matt,Eric,
E100-1-2012-3,09/01/2012,E100-1-32A,WH,R,O4178C38OA,A,F?,,,,,,,,,,,,,,,,,,,,,Matt,James,
E100-1-2012-3,09/01/2012,E100-1-42B,RS,R,O4178C4F18,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Eric,
E100-1-2012-3,09/01/2012,E100-1-15B,RS,R,O4178C5255,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Sabri,
E100-1-2012-3,09/01/2012,E100-1-45B,RS,N,O4178C5D5F,A,F?,,38.6,22.4,12.1,,,,,13,102,89,123,,Half tail missing (old injury),,,,,,,Faye,Eric,
E100-1-2012-3,09/01/2012,E100-1-36B,RS,R,O4178C5ECE,A,F,,,,,,,,,,,,,,,,,,,,,Matt,James,
E100-1-2012-3,09/01/2012,E100-1-5B,RS,R,O4178C5O2A,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Faye,
E100-1-2012-3,09/01/2012,E100-1-46B,RS,R,O4178C69CC,A,M?,,,,,,,,,,,,,,,,,,,,,Matt,Eric,
E100-1-2012-3,09/01/2012,E100-1-16A,SS,N,O4178C714C,A,F,,26.6,16.7,9.5,,,,,14,72,58,16,,Grazed nose,,443,,,,,Matt,Sabri,
E100-1-2012-3,09/01/2012,E100-1-34B,WH,R,O4178C84BF,A,M,,,,,,,,,,,,,,,,,,,,,Matt,James,
E100-1-2012-4,10/01/2012,E100-1-5B,DTT,N,O417817588,A,F?,,24.2,15.9,12.1,,,,,14,60,46,3,,,,447,,,,,Matt,Faye,
E100-1-2012-4,10/01/2012,E100-1-24A,SS,R,O4178C33OE,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Alex,
E100-1-2012-4,10/01/2012,E100-1-42A,WH,N,O4178C4AAF,A,F,Perforated,26.6,13.3,11,,,,,13,54,41,35,,"Large cut on right hind leg and smaller cut on left hind leg, half tail missing, all old injuries and all healing.",,444,,,,,Faye,Faye,
E100-1-2012-4,10/01/2012,E100-1-25A,RS,N,O4178C57D9,A,M,,36.8,22.7,16.1,,,,,13,132,119,76,,,,445,,,,,Matt,Sabri,
E100-1-2012-4,10/01/2012,E100-1-16A,SS,R,O4178C5AED,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Matt,
E100-1-2012-4,10/01/2012,E100-1-23A,WH,N,O4178C5B98,A,M,Balls,27,16.4,9.8,,,,,14,,53,19,,,,448,,,,,Matt,Alex,
E100-1-2012-4,10/01/2012,E100-1-43A,SS,N,O4178C8447,A,M?,,28.2,17.1,14,,,,,13,68,55,78,,,,446,,,,,Faye,Matt,
E100-1-2012-4,10/01/2012,E100-1-29B,MR,R,O4178C8O12,SA,M,,,,,,,,,,,,,,,,,,,,,Faye,Sabri,
E100-1-2012-5,11/01/2012,E100-1-8A,WH,R,O417817859,A,M,Large testes,,,,,,,,,,,,,,,,,,,,Faye,Wosh,
E100-1-2012-5,11/01/2012,E100-1-35A,CTRS,N,O417817DE5,A,M,Balls,49,,,216.3,186.6,,33.2,,,,0,,Death,Y,,,,,,Matt,Mai,
E100-1-2012-5,11/01/2012,E100-1-30B,WH,N,O4178C3B48,A,M,Large testes,27.3,14.2,20.6,,,,,14,61,47,50,,,,,,,,,Faye,Mai,
E100-1-2012-5,11/01/2012,E100-1-42A,RS,R,O4178C4F18,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Mathiew,
E100-1-2012-5,11/01/2012,E100-1-43A,SS,N,O4178C51E9,A,M,Testes,25.8,14.9,13.85,,,,,13,70,57,65,,Cut skin on left hind leg during fur clip.,,,,,,,Faye,Mathiew,
E100-1-2012-5,11/01/2012,E100-1-23A,WH,R,O4178C5B98,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Faye,
E100-1-2012-5,11/01/2012,E100-1-36B,RS,R,O4178C5ECE,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Mai,
E100-1-2012-5,11/01/2012,E100-1-15B,SS,R,O4178C714C,A,F,,,,,,,,,,,,,,,,,,,,,Faye,Matt,
E100-1-2012-6,12/01/2012,E100-1-24A,SS,R,O4178C33OE,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Roy,
E100-1-2012-6,12/01/2012,E100-1-11A,LTG,N,O4178C354B,A,M,Large testes,43.7,23,39.95,,,,,13,345,332,32,,,,,,,,,Faye,Jef,
E100-1-2012-6,12/01/2012,E100-1-12A,RS,R,O4178C3586,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Jef,
E100-1-2012-6,12/01/2012,E100-1-40B,SS,R,O4178C47BF,A,M,,,,,,,,,,,,,,,,,,,,,Faye,James,
E100-1-2012-6,12/01/2012,E100-1-42A,RS,R,O4178C4F18,A,F,,,,,,,,,,,,,,,,,,,,,Faye,James,
E100-1-2012-6,12/01/2012,E100-1-15B,RS,R,O4178C5255,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Roy,
E100-1-2012-6,12/01/2012,E100-1-36B,RS,R,O4178C5ECE,A,F,,,,,,,,,,,,,,,,,,,,,Matt,Matt,
E100-1-2012-6,12/01/2012,E100-1-34B,WH,N,O4178C5EE8,A,M,Large testes,27.4,15,16.7,,,,,17,61,44,74,,,,,,,,,Faye,Faye,
E100-1-2012-6,12/01/2012,E100-1-5B,RS,R,O4178C5O2A,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Jef,
E100-1-2012-6,12/01/2012,E100-1-16A,RS,N,O4178C7AC9,A,F?,,39,23,11.4,,,,,13,105,92,115,,Lost last inch of tail,,,,,,,Faye,Roy,
E100-1-2012-6,12/01/2012,E100-1-44A,SS,R,O4178C8447,A,M?,,,,,,,,,,,,,,,,,,,,,Matt,James,
E100-1-2012-6,12/01/2012,E100-1-32B,MR,R,O4178C8O12,SA,M,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
E100-1-2012-7,13/01/2012,E100-1-12A,DTT,R,O417817588,A,F?,,,,,,,,,,,,,,,,,,,,,Faye,James,
E100-1-2012-7,13/01/2012,E100-1-40B,SS,R,O4178C31DC,A,F?,,,,,,,,,,,,,,,,,,,,,Matt,Faye,
E100-1-2012-7,13/01/2012,E100-1-24A,SS,R,O4178C33OE,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Wosh,
E100-1-2012-7,13/01/2012,E100-1-22A,SS,R,O4178C47BF,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Wosh,
E100-1-2012-7,13/01/2012,E100-1-45B,SS,R,O4178C51E9,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Matt,
E100-1-2012-7,13/01/2012,E100-1-16A,RS,R,O4178C5255,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Wosh,
E100-1-2012-7,13/01/2012,E100-1-3B,RS,R,O4178C5491,A,M,,,,,,,,,,,,,,,,,,,,,Matt,James,
E100-1-2012-7,13/01/2012,E100-1-25A,RS,R,O4178C57D9,A,M,,,,,,,,,,,,,,,,,,,,,Faye,Eric,
E100-1-2012-7,13/01/2012,E100-1-17B,SS,R,O4178C5AED,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Wosh,
E100-1-2012-7,13/01/2012,E100-1-17B,SS,R,O4178C714C,A,F,,,,,,,,,,,,,,Grazed nose,,,,,,,Matt,Wosh,
E100-1-2012-7,13/01/2012,E100-1-36B,WH,R,O4178C84BF,A,M,,,,,,,,,,,,,,,,,,,,,Matt,Eric,
E100-1-2012-7,13/01/2012,E100-1-26A,DTT,N,O4178C8688,A,F,"Perforated, 2 pairs nips",24.9,12.7,8.8,,,,,20,74,54,6,,,,,,,,,Faye,Eric,
E100-1-2012-7,13/01/2012,E100-1-30A,MR,R,O4178C8O12,SA,M,,,,,,,,,,,,,,,,,,,,,Faye,Eric,
E100-1-2014-1,03/06/2014,E100-1-41A,RS,R,O4178C57D9,A,M,,,,,,,,,,,,,,,,,,,,,,Alex,
E100-1-2014-1,03/06/2014,E100-1-45B,RS,R,O4178C5D5F,A,F?,,,,,,,,,,,,,,,,,,,,,Jess,Alex,
E100-1-2014-1,03/06/2014,E100-1-37B,SS,N,O41868D52F,SA,M,Start of balls – dark swelling.,27.4,18.25,14.4,,,,,16,77,61,25,,,,1084,,196,,,Jess,Alex,
E100-1-2014-1,03/06/2014,E100-1-43A,SLTRS,N,O41868D9CA,A,M,Balls obvious  ,37.2,,,135.8,172.1,,26.1,16,90,74,0,,,,,,194,,,Jess,Alex,
E100-1-2014-1,03/06/2014,E100-1-24B,RS,N,O41868E13B,SA,F,Mammae visible under fur but small. Unperforated.,39.9,24.5,10.3,,,,,16,156,140,25,,,,1081,,,,,Jess,Wosh,
E100-1-2014-1,03/06/2014,E100-1-1A,RS,N,O41868EE39,A,M,Balls and epididymal pouch obvious,40.4,25.9,23,,,,,16,213,197,54,,,,1080,336,193,,,Jess,Jess,
E100-1-2014-1,03/06/2014,E100-1-48A,RS,N,O41869O392,A,F,"Mammae visible, perforated.  ",37.2,25.7,8.2,,,,,16,175,159,61,,,,1083,,,,,Jess,Alex,
E100-1-2014-1,03/06/2014,E100-1-19A,SS,N,O41869O4BB,SA,M,Start of balls visible as dark swelling between nubbin and anus.,27.1,19.5,12.2,,,,,16,81,65,38,,,,1082,,195,,,Jess,Wosh,
E100-1-2014-1,03/06/2014,E100-1-37B,SS,N,O41869O56O,SA,F,Mammae visible under fur but not obvious. Unperforated.,27.5,19.7,10.4,,,,,16,87,71,19,,,,1085,,197,,,Jess,Alex,
E100-1-2014-2,04/06/2014,E100-1-40B,SS,N,O4178C4864,SA,M,Start of balls visible as dark swelling.,26.1,17.8,13.2,,,,,16,71,55,30,,,,1088,,,,,Jess,Jess,
E100-1-2014-2,04/06/2014,E100-1-23B,RS,R,O4178C57D9,A,M,,,,,,,,,,,,,,,,,,,,,Jess,Alex,
E100-1-2014-2,04/06/2014,E100-1-36A,SS,R,O41868D52F,SA,M,,,,,,,,,,,,,,,,,,,,,Sabri,Jess,
E100-1-2014-2,04/06/2014,E100-1-45B,RS,N,O41868DE6A,A,M,"Balls large, epididymal pouch very obvious and protruding.",40.9,25.6,30.3,,,,,15,216,201,62,,,,1086,,,,,Jess,Jess,
E100-1-2014-2,04/06/2014,E100-1-5B,RS,N,O41868E368,SA,M,Balls and epididymal pouch obvious but still small,40.1,23.3,23.1,,,,,15,139,124,20,,,,1087,,,,,Jess,Sabri,
E100-1-2014-2,04/06/2014,E100-1-37A,SS,R,O41869O56O,SA,F,,,,,,,,,,,,,,,,,,,,,Sabri,Jess,
E100-1-2014-2,04/06/2014,E100-1-22A,SS,N,O41869OCB9,SA,F,Unperforated. Mammae just about visible under fur as tiny red dots.,25.1,18.35,8.55,,,,,15,64,49,16,,,,1089,,,,,Jess,Alex,
E100-1-2014-3,05/06/2014,E100-1-9A,RS,R,O41868EE39,A,M,,,,,,,,,,,,,,,,,,,,,Jess,Alex,
E100-1-2014-3,05/06/2014,E100-1-13A,LSQ,N,O41868F497,A,M,Balls obvious,33.8,,,129.4,100.9,,,16,115,99,0,,,,,,198,,,Jess,Alex,
E100-1-2014-3,05/06/2014,E100-1-43A,SLTRS,N,O41868F774,A,M,Penis and balls obvious.,37.6,,,141.9,173.5,,26.4,16,83,67,0,,Scrape on top of muzzle.,,,,199,,,Jess,Sabri,
E100-1-2014-3,05/06/2014,E100-1-17B,RS,N,O41868FO5O,SA,F,"Unperforated but can see where hole will develop. Mammae not yet visible, despite much peering.",38.2,25.75,10.3,,,,,15,119,104,44,,End of tail broken,,1090,,,,,Jess,Jess,
E100-1-2014-3,05/06/2014,E100-1-36A,SS,R,O41869O56O,SA,F,,,,,,,,,,,,,,,,,,,,,Jess,Sabri,
E100-1-2014-4,06/06/2014,E100-1-13A,LSQ,N,O41781AFD6,A,M,Balls and epididymal pouch obvious,33.75,,,125.1,95.7,,,16,118,102,1,,"As above for 12B, had one quite large furless patch on upperside of right hindlimb where the skin had blotches of orange and red discolouration. Have photos. These patches are definitely not from ether leakage by the way as I noticed them in the traps before transferring to ether pot.",,,,201,,,Jess,Jess,
E100-1-2014-4,06/06/2014,E100-1-33A,SS,R,O4178C4864,SA,M,,,,,,,,,,,,,,,,,,,,,Jess,Melvin,
E100-1-2014-4,06/06/2014,E100-1-21A,RS,R,O4178C57D9,A,M,,,,,,,,,,,,,,,,,,,,,Jess,Siun,
E100-1-2014-4,06/06/2014,E100-1-12A,LSQ,R,O417BD736B,A,M,,,,,,,,,,,,,,"Like the LSQ in 13A, had patches without fur – this individual had one on each shoulder – with the skin underneath mottled between yellow to bright orange to dark red. From fighting, as these are both males living in close proximity? Or infection? Have photos.",,,,,,,,Jess,
E100-1-2014-4,06/06/2014,E100-1-32B,SLTRS,N,O41868C7D1,A,M,Balls obvious,37.3,,,133.8,172.2,,25.5,16,78,62,0,,Small patch of fur missing on left hindlimb although skin underneath not broken or discoloured.,,,,,,,Jess,Siun,
E100-1-2014-4,06/06/2014,E100-1-17B,RS,R,O41868E13B,SA,F,,,,,,,,,,,,,,,,,,,,,Jess,Siun,
E100-1-2014-4,06/06/2014,E100-1-25B,WH,N,O41868E378,A,M,Balls rather large.,26.3,18.5,17.35,,,,,16,74,58,20,,,,1091,,202,,,Jess,Siun,
E100-1-2014-4,06/06/2014,E100-1-34B,SLTRS,N,O41868FCF3,SA,F,"Seemed to have penis (more penis-like than nubbin-like and couldn't see any 'hole' or mammae) but balls had not yet developed. EDIT by ORW: Have changed to F instead of M? for sex because testes should have been obvious if it was a male. Jess doesn't seem to be ID'ing any of the treeshrews as females, possibly because of the penis-like genitalia of females.",38.4,,,129.8,171.3,,23.5,16,74,58,0,,,,,,,,,Jess,Melvin,
E100-1-2014-4,06/06/2014,E100-1-19B,LSQ,N,O41868FE5A,A,M,Balls and epididymal pouch obvious,32.85,,,139.5,88.85,,,15,114,99,9,,,,,,200,,,Jess,Siun,
E100-1-2014-4,06/06/2014,E100-1-22A,SS,R,O41869O4BB,SA,M,,,,,,,,,,,,,,,,,,,,,Jess,Siun,
E100-1-2014-5,07/06/2014,E100-1-40B,SS,N,NewDead7,SA,F,No mammae visible but had small bare patch where it looked like hole would develop,26.2,17.9,8,,,,,17,58,41,10,,,Y,,338,205,,,Jess,Siun,
E100-1-2014-5,07/06/2014,E100-1-33A,SS,R,O4178C4864,SA,M,,,,,,,,,,,,,,,,,,,,,Jess,Siun,
E100-1-2014-5,07/06/2014,E100-1-45B,RS,R,O4178C5D5F,A,F?,,,,,,,,,,,,,,,,,,,,,Jess,Siun,
E100-1-2014-5,07/06/2014,E100-1-30A,SS,R,O41868D52F,SA,M,,,,,,,,,,,,,,,,,,,,,Jess,Jess,
E100-1-2014-5,07/06/2014,E100-1-32A,SLTRS,R,O41868D9CA,A,M,,,,,,,,,,,,,,,,,,,,,Jess,Jess,
E100-1-2014-5,07/06/2014,E100-1-48A,RS,N,O41868E333,A,M,Big balls.,39.5,25.1,26.85,,,,,16,147,131,53,,,,1093,339,206,,,Jess,Siun,
