Occasion,Date,Trap,Species,Recapture (R/N) ,Tag no.,Age (J/SA/A),Sex (M/F),Breeding ,HF (L),E (L),AGD,HB,T,Tail % of HB,MZ (Muzzle length),Parasites (number of ectoparasites visible with naked eRe),Bag Weight (g),Weight incl. bag (g),Weight,Injuries ,Dead,Tissue Sample ID,Parasite Sample ID,Processor,Whot Baited,Other Notes,Flagged
F1-2-2011-1,23/06/2011,F1-2-44A,WH,N,O4178156A7,A,M?,,26.3,16.45,9.4,,,,,35,19,67,48,,,52,,,,,
F1-2-2011-1,23/06/2011,F1-2-15A,RS,N,O41781586B,A,F,,40.65,23.4,9.1,,,,,95,20,129,109,,,63,,,,"Thin collar, ankle bands",
F1-2-2011-1,23/06/2011,F1-2-47A,RS,N,O417815B75,A,M,,39.9,25,16.1,,,,,73,15,119,104,,,51,,,,,
F1-2-2011-1,23/06/2011,F1-2-34A,WH,N,O417815F87,A,F?,,28.7,17.95,9.8,,,,,26,29,81,52,,,,,,,,
F1-2-2011-1,23/06/2011,F1-2-29A,RS,N,O41781669O,A,M,,39.5,27,23.5,,,,,93,15,131,116,,,60,,,,,
F1-2-2011-1,23/06/2011,F1-2-37A,LTG,N,O4178167FE,A,F?,,45,24.9,17.3,,,,,27,15,259,244,,,,,,,,
F1-2-2011-1,23/06/2011,F1-2-16B,WH,N,O41781693D,A,M,,29.7,17.4,12.1,,,,,41,20,61,41,,,58,,,,,
F1-2-2011-1,23/06/2011,F1-2-38B,WH,N,O4178169FE,A,F,,27.2,16.7,6.5,,,,,22,21,60,39,,,,,,,,
F1-2-2011-1,23/06/2011,F1-2-35B,WH,N,O417816E38,A,F,,25.5,18,7.6,,,,,23,20,59,39,,,,,,,,
F1-2-2011-1,23/06/2011,F1-2-25B,LTG,N,O417816O6D,A,M,,43.4,25,16.1,,,,,19,15,263,248,,,,,,,,
F1-2-2011-1,23/06/2011,F1-2-36B,LTG,N,O4178172B1,A,M,,47.6,24.8,35.6,,,,,18,15,308,293,"End of tail missing, old injury",,,,,,,
F1-2-2011-1,23/06/2011,F1-2-24B,RS,N,O4178172D9,A,M,,40.7,25.4,15.8,,,,,115,14,122,108,,,62,,,,,
F1-2-2011-1,23/06/2011,F1-2-19A,WH,N,O417817A2D,A,F,,25.3,18.3,8.1,,,,,37,15,55,40,,,57,,,,,
F1-2-2011-1,23/06/2011,F1-2-18A,LTG,N,O417817B38,A,M,,43,26.6,32.6,,,,,11,15,253,238,,,55,,,,,
F1-2-2011-1,23/06/2011,F1-2-11B,RS,N,O417817CEC,A,F,,39.9,23.8,8.25,,,,,90,21,118,97,,,56,,,,"Full collar, ankle bands",
F1-2-2011-1,23/06/2011,F1-2-26B,WH,N,O417818185,A,F,,29.2,18.7,7.8,,,,,27,16,54,38,,,59,,,,,
F1-2-2011-1,23/06/2011,F1-2-42A,RR,N,O4178188E6,A,M,Testes,34.3,19.6,40.2,,,,,22,16,135,119,,,,,,,,
F1-2-2011-1,23/06/2011,F1-2-16A,RS,N,O41781896A,A,F,,40.7,21.65,8.55,,,,,147,20,128,108,,,,,,,,
F1-2-2011-1,23/06/2011,F1-2-23B,LTG,N,O417818B66,A,M,Testes,47.05,24,28.1,,,,,16,20,300,280,,,,,,,,
F1-2-2011-1,23/06/2011,F1-2-33A,RS,N,O417818C5F,A,M,,40.35,23.5,16.85,,,,,44,20,135,115,,,,,,,,
