Occasion,Date,Trap ID,Species,Recapture (R/N) ,Tag no.,Age,Sex,Sexing Notes,HF,E,AGD,HB,T,Tail % of HB,MZ,Bag Weight (g),Gross Weight,Net Weight,Parasites (number of ectoparasites visible with naked eye),Injuries ,Dead,Tissue Sample ID,Parasite Sample ID,Fur Sample ID,Faecal Sample ID (1),Faecal Sample ID (2),Processor,Who Baited,Other Notes,Flagged
OG2-E-2011-1,12/05/2011,OG2-E-11A,BS,N,O41781A59C,SA,M?,,32,18.7,11.35,,,,,21,90,69,55,,,,,,,,,,,
OG2-E-2011-1,12/05/2011,OG2-E-16B,LTG,N,O41781555A,A,M,,43.6,21.8,33.8,,,,,21,350,329,11,,,,,,,,,,,
OG2-E-2011-1,12/05/2011,OG2-E-6B,BS,N,O41781776A,SA,F,,34,21.1,9.35,,,,,21,100,79,41,,,,,,,,,,,
OG2-E-2011-1,12/05/2011,OG2-E-7A,LTG,N,O417819C15,A,F,,44,20.85,14.5,,,,,21,375,354,9.5,,,,,,,,,,,
OG2-E-2011-1,12/05/2011,OG2-E-9B,BS,N,O417816C9C,SA,M,,33,17.7,18.95,,,,,21,97,76,40.5,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-11B,BS,N,O41781884E,A,F,,36.1,10.1,10.2,,,,,24,97,73,31.5,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-13A,RS,N,O417819766,SA,M?,,39.3,20.7,18.55,,,,,23,138,115,70,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-15B,BS,N,O417817849,A,M?,,36.5,19.25,8.95,,,,,23,107,84,61,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-16A,BS,N,O4178155O7,SA,F?,,36.6,20.4,10.1,,,,,24,99,75,32,Tail caught in spring - cut off,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-6B,BS,R,O41781A59C,SA,M?,,,,,,,,,,,,,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-7A,LTG,R,O417819C15,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-7B,LTG,N,O417818FDO,A,M,,46.2,22.8,29.65,,,,,24,370,346,7.5,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-9B,LTG,R,O41781555A,A,M,,,,,,,,,,,,,,,,,,,,,,,
