Code,Species,Scientific
BS,Brown Spiny Rat,Maxomys rajah
BSQ?,Brooke's Squirrel,Sundasciurus brookei
CBS,Chestnut-Bellied Spiny Rat,Maxomys ochraceiventer
CTRS,Common Treeshrew,Tupaia glis
DTT,Dark-Tailed Tree Rat,Niviventer cremoriventer
ESSQ,Earspot Squirrel,Calliosciurus adamsi
FSGSQ,Four-Striped Ground Sqiurrel,Lariscus hosei
HTSQ,Horse-Tailed Squirrel,Sundasciurus hippurus
LETRS?,Lesser Treeshrew,Tupaia minor
LGTRS,Large Treeshrew,Tupaia tana
LSQ,Low's Squirrel,Sundasciurus lowii
LTG,Long-Tailed Giant Rat,Leopoldamys sabanus
MFR,Malaysian Field Rat,Rattus tiomanicus
MR,Muller's Rat,Sundamys muelleri
PR,Polynesian Rat,Rattus exulans
PTSQ,Plantain Squirrel,Calliosciurus notatus
RR,Black Rat,Rattus rattus
RS,Red Spiny Rat,Maxomys surifer
SLTRS,Slender Treeshrew,Tupaia gracilis
SS,Small Spiny Rat,Maxomys baeodon
SSQ?,Slender Squirrel,Sundasciurus tenuis
STTRS,Striped Treeshrew,Tupaia dorsalis
WH,Whitehead's Rat,Maxomys whiteheadi
RBSSQ,Red-bellied Scultor Squirrel,Rubrisciurus rubriventer
Moon Rat,Moonrat,Echinosorex gymnura
Malayan Civet,Malayan Civet,Viverra tangalunga
Yellow-throated Marten,Yellow-throated Marten,Martes flavigula
squirrel,squirrel,Sciuridae
unknown,unknown,unknown
None,None,None
