test,Aderidae,Anobiidae,Anthicidae,Anthribidae,Attelabidae,Biphyllidae,Bostrichidae,Brentidae,Buprestidae,Byrrhidae,Byturidae,Carabidae,Cerambycidae,Cerylonidae,Chrysomelidae,Clambidae,Cleridae,Coccinelidae,Corylophidae,Curculionidae,Dermestidae,Dryopidae,Dytiscidae,Elateridae,Endomychidae,Erotylidae,Eucnemidae,Geotrupidae,Histeridae,Hybosoridae,Hydrophilidae,Ischaliidae,Kateretidae,Laemophloeidae,Lampyridae,Leiodidae,Leptodiridae,Limnichidae,Lucanidae,Lycidae,Melandryidae,Mordelidae,Nitidulidae,Passandridae,Phalacridae,Ptilidae,Ptilodactylidae,Rhysodidae,Salpingidae,Scarabaeidae,Scirtidae,Scraptiidae,Silvanidae,Sphindidae,Staphylinidae,Tenebrionidae,Trogidae,Zopheridae
P1_A_1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
P1_A_10,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,
P1_A_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
P1_A_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
P1_A_30,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,
P1_A_33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
P1_A_34,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,
P1_A_4,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
P1_A_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
P1_A_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,
P1_C_100,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,5.0,,,
P1_C_102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
P1_C_104,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_C_106,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,,,
P1_C_109,,,,,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,28.0,,,
P1_C_110,,,,,,1.0,,,,,1.0,1.0,,,,,,,,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,26.0,1.0,,
P1_C_111,,,1.0,,,,,,,,,3.0,,,,,,,1.0,10.0,,,,1.0,1.0,,,,,4.0,,,,,,1.0,5.0,,,,,,1.0,,,1.0,,,,2.0,,,,,100.0,,,
P1_C_112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,
P1_C_113,,,,,,3.0,,,,,,3.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,1.0,,,,,18.0,,,
P1_C_114,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,8.0,,,
P1_C_122,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,2.0,,,,,,,3.0,,1.0,,,,,2.0,,,,,26.0,,,
