Unnamed: 0,date,trap_N,block,family,census,block_trap_census,plot
1,2012-06-17,1,A,Carabidae,P3,A_1_P3,A
2,2012-06-17,1,A,Leiodidae,P3,A_1_P3,A
3,2012-06-17,1,A,Staphylinidae,P3,A_1_P3,A
4,2012-06-17,1,A,Staphylinidae,P3,A_1_P3,A
5,2012-06-17,1,A,Staphylinidae,P3,A_1_P3,A
6,2012-06-17,1,A,Scarabaeidae,P3,A_1_P3,A
7,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
8,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
9,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
10,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
11,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
12,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
13,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
14,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
15,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
16,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
17,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
18,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
19,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
20,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
21,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
22,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
23,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
24,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
25,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
26,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
27,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
28,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
29,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
30,2012-06-17,1,A,Curculionidae,P3,A_1_P3,A
31,2012-06-17,1,A,Endomychidae,P3,A_1_P3,A
35,2012-06-17,1,A,Eucnemidae,P3,A_1_P3,A
36,2012-06-17,1,A,Mordelidae,P3,A_1_P3,A
37,2011-02-22,1,A,Carabidae,P1,A_1_P1,A
44,2011-11-19,1,A,Carabidae,P2,A_1_P2,A
45,2011-11-19,1,A,Curculionidae,P2,A_1_P2,A
46,2011-11-19,1,A,Curculionidae,P2,A_1_P2,A
47,2011-11-19,1,A,Leiodidae,P2,A_1_P2,A
48,2011-02-22,1,A,Staphylinidae,P1,A_1_P1,A
49,2011-02-22,1,A,Staphylinidae,P1,A_1_P1,A
50,2011-02-22,1,A,Staphylinidae,P1,A_1_P1,A
51,2011-02-22,1,A,Staphylinidae,P1,A_1_P1,A
52,2011-02-22,1,A,Staphylinidae,P1,A_1_P1,A
53,2011-11-02,1,A,Staphylinidae,P2,A_1_P2,A
54,2011-11-02,1,A,Staphylinidae,P2,A_1_P2,A
55,2011-11-02,1,A,Staphylinidae,P2,A_1_P2,A
56,2011-11-02,1,A,Staphylinidae,P2,A_1_P2,A
57,2011-11-02,1,A,Staphylinidae,P2,A_1_P2,A
58,2011-11-02,1,A,Staphylinidae,P2,A_1_P2,A
59,2011-11-02,1,A,Staphylinidae,P2,A_1_P2,A
60,2011-11-02,1,A,Staphylinidae,P2,A_1_P2,A
61,2012-06-17,1,A,Staphylinidae,P3,A_1_P3,A
67,2012-06-17,2,A,Carabidae,P3,A_2_P3,A
68,2012-06-17,2,A,Carabidae,P3,A_2_P3,A
69,2012-06-17,2,A,Carabidae,P3,A_2_P3,A
70,2012-06-17,2,A,Anthicidae,P3,A_2_P3,A
82,2011-11-19,2,A,Scarabaeidae,P2,A_2_P2,A
83,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
84,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
85,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
86,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
87,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
88,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
89,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
90,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
91,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
92,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
93,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
94,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
95,2011-11-02,2,A,Staphylinidae,P2,A_2_P2,A
96,2012-06-17,2,A,Staphylinidae,P3,A_2_P3,A
97,2012-06-17,2,A,Staphylinidae,P3,A_2_P3,A
98,2012-06-17,3,A,Anthicidae,P3,A_3_P3,A
99,2012-06-17,3,A,Tenebrionidae,P3,A_3_P3,A
100,2012-06-17,3,A,Leiodidae,P3,A_3_P3,A
101,2012-06-17,3,A,Leiodidae,P3,A_3_P3,A
102,2012-06-17,3,A,Leiodidae,P3,A_3_P3,A
103,2012-06-17,3,A,Nitidulidae,P3,A_3_P3,A
104,2012-06-17,3,A,Curculionidae,P3,A_3_P3,A
105,2012-06-17,3,A,Staphylinidae,P3,A_3_P3,A
106,2012-06-17,3,A,Tenebrionidae,P3,A_3_P3,A
107,2012-06-17,3,A,Eucnemidae,P3,A_3_P3,A
108,2012-06-17,3,A,Tenebrionidae,P3,A_3_P3,A
109,2011-11-19,3,A,Scarabaeidae,P2,A_3_P2,A
110,2011-11-19,3,A,Scarabaeidae,P2,A_3_P2,A
111,2011-11-19,3,A,Scarabaeidae,P2,A_3_P2,A
112,2011-11-19,3,A,Carabidae,P2,A_3_P2,A
113,2011-11-19,3,A,Carabidae,P2,A_3_P2,A
114,2011-11-19,3,A,Dytiscidae,P2,A_3_P2,A
115,2011-11-19,3,A,Dytiscidae,P2,A_3_P2,A
130,2011-11-19,3,A,Curculionidae,P2,A_3_P2,A
131,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
132,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
133,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
134,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
135,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
136,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
137,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
138,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
139,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
140,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
141,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
142,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
143,2011-11-02,3,A,Staphylinidae,P2,A_3_P2,A
144,2012-06-17,3,A,Staphylinidae,P3,A_3_P3,A
145,2012-06-17,3,A,Staphylinidae,P3,A_3_P3,A
146,2012-06-17,3,A,Staphylinidae,P3,A_3_P3,A
147,2012-06-17,3,A,Staphylinidae,P3,A_3_P3,A
148,2012-06-17,3,A,Staphylinidae,P3,A_3_P3,A
149,2012-06-17,4,A,Carabidae,P3,A_4_P3,A
150,2012-06-17,4,A,Curculionidae,P3,A_4_P3,A
151,2012-06-17,4,A,Leiodidae,P3,A_4_P3,A
152,2012-06-17,4,A,Tenebrionidae,P3,A_4_P3,A
153,2012-06-17,4,A,Biphyllidae,P3,A_4_P3,A
154,2012-06-17,4,A,Curculionidae,P3,A_4_P3,A
155,2012-06-17,4,A,Curculionidae,P3,A_4_P3,A
156,2012-06-17,4,A,Curculionidae,P3,A_4_P3,A
157,2012-06-17,4,A,Curculionidae,P3,A_4_P3,A
160,2011-02-22,4,A,Curculionidae,P1,A_4_P1,A
161,2011-02-22,4,A,Curculionidae,P1,A_4_P1,A
162,2011-02-22,4,A,Curculionidae,P1,A_4_P1,A
163,2011-11-19,4,A,Curculionidae,P2,A_4_P2,A
169,2011-02-22,4,A,Staphylinidae,P1,A_4_P1,A
170,2011-02-22,4,A,Staphylinidae,P1,A_4_P1,A
171,2011-02-22,4,A,Staphylinidae,P1,A_4_P1,A
172,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
173,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
174,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
175,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
176,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
177,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
178,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
179,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
180,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
181,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
182,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
183,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
184,2011-11-02,4,A,Staphylinidae,P2,A_4_P2,A
185,2012-06-17,4,A,Staphylinidae,P3,A_4_P3,A
186,2012-06-17,4,A,Staphylinidae,P3,A_4_P3,A
187,2012-06-17,4,A,Staphylinidae,P3,A_4_P3,A
188,2012-06-17,4,A,Staphylinidae,P3,A_4_P3,A
189,2012-06-17,5,A,Leptodiridae,P3,A_5_P3,A
190,2012-06-17,5,A,Curculionidae,P3,A_5_P3,A
193,2011-11-19,5,A,Curculionidae,P2,A_5_P2,A
195,2011-11-19,5,A,Curculionidae,P2,A_5_P2,A
196,2011-11-19,5,A,Curculionidae,P2,A_5_P2,A
