,census,plot,min,max,mid,difference,diff_yrs,step
,2011-1,D,2011-08-20,2011-12-09,2011-10-14,,,
,2011-2,D,2011-08-21,2011-09-13,2011-09-01,,,
D_2011-2-2011-3,2011-3,D,2011-08-22,2011-09-14,2011-09-02,1.0,0.0027397260273972603,2011-2-2011-3
D_2011-3-2011-4,2011-4,D,2011-08-23,2011-09-15,2011-09-03,1.0,0.0027397260273972603,2011-3-2011-4
D_2011-4-2011-5,2011-5,D,2011-08-24,2011-09-16,2011-09-04,1.0,0.0027397260273972603,2011-4-2011-5
,2011-6,D,2011-08-25,2011-08-25,2011-08-25,,,
D_2011-6-2011-7,2011-7,D,2011-08-26,2011-08-26,2011-08-26,1.0,0.0027397260273972603,2011-6-2011-7
D_2011-7-2012-1,2012-1,D,2012-01-30,2012-08-02,2012-05-01,249.0,0.6821917808219178,2011-7-2012-1
D_2012-1-2012-10,2012-10,D,2012-09-06,2012-09-06,2012-09-06,128.0,0.3506849315068493,2012-1-2012-10
D_2012-10-2012-12,2012-12,D,2012-11-06,2012-11-06,2012-11-06,61.0,0.16712328767123288,2012-10-2012-12
,2012-14,D,2012-06-13,2012-06-13,2012-06-13,,,
,2012-2,D,2012-01-06,2012-09-02,2012-05-05,,,
D_2012-2-2012-3,2012-3,D,2012-01-02,2012-10-02,2012-05-18,13.0,0.03561643835616438,2012-2-2012-3
D_2012-3-2012-4,2012-4,D,2012-02-02,2012-11-02,2012-06-18,31.0,0.08493150684931507,2012-3-2012-4
D_2012-4-2012-5,2012-5,D,2012-02-29,2012-12-02,2012-07-16,28.0,0.07671232876712329,2012-4-2012-5
,2012-6,D,2012-01-03,2012-11-03,2012-06-03,,,
D_2012-6-2012-7,2012-7,D,2012-02-03,2012-12-03,2012-07-04,31.0,0.08493150684931507,2012-6-2012-7
D_2012-7-2012-8,2012-8,D,2012-07-06,2012-07-06,2012-07-06,2.0,0.005479452054794521,2012-7-2012-8
D_2012-8-2012-9,2012-9,D,2012-08-06,2012-08-06,2012-08-06,31.0,0.08493150684931507,2012-8-2012-9
D_2012-9-2014-1,2014-1,D,2014-06-02,2014-07-19,2014-06-25,688.0,1.884931506849315,2012-9-2014-1
D_2014-1-2014-2,2014-2,D,2014-07-02,2014-07-20,2014-07-11,16.0,0.043835616438356165,2014-1-2014-2
D_2014-2-2014-3,2014-3,D,2014-07-21,2014-08-02,2014-07-27,16.0,0.043835616438356165,2014-2-2014-3
D_2014-3-2014-4,2014-4,D,2014-07-22,2014-09-02,2014-08-12,16.0,0.043835616438356165,2014-3-2014-4
D_2014-4-2014-5,2014-5,D,2014-07-23,2014-10-02,2014-08-27,15.0,0.0410958904109589,2014-4-2014-5
D_2014-5-2014-6,2014-6,D,2014-07-24,2014-11-02,2014-09-12,16.0,0.043835616438356165,2014-5-2014-6
D_2014-6-2014-7,2014-7,D,2014-07-25,2014-12-02,2014-09-28,16.0,0.043835616438356165,2014-6-2014-7
D_2014-7-2015-1,2015-1,D,2015-05-19,2015-05-27,2015-05-23,237.0,0.6493150684931507,2014-7-2015-1
