,census,plot,min,max,mid,difference,diff_yrs,step
nan,2011,D,2011-08-20,2011-12-09,2011-10-14,,,
D_2011-2012,2012,D,2012-01-02,2012-12-03,2012-06-18,248.0,0.6794520547945205,2011-2012
D_2012-2014,2014,D,2014-06-02,2014-12-02,2014-09-01,805.0,2.2054794520547945,2012-2014
D_2014-2015,2015,D,2015-01-06,2015-05-31,2015-03-19,199.0,0.5452054794520548,2014-2015
D_2015-2016,2016,D,2016-01-03,2016-02-29,2016-01-31,318.0,0.8712328767123287,2015-2016
D_2016-2017,2017,D,2017-01-04,2017-12-03,2017-06-19,505.0,1.3835616438356164,2016-2017
nan,2011,E,2011-01-06,2011-12-16,2011-06-27,,,
E_2011-2012,2012,E,2012-01-12,2012-12-01,2012-06-22,361.0,0.989041095890411,2011-2012
E_2012-2014,2014,E,2014-01-06,2014-12-01,2014-06-19,727.0,1.9917808219178081,2012-2014
E_2014-2015,2015,E,2015-03-04,2015-12-07,2015-07-21,397.0,1.0876712328767124,2014-2015
E_2015-2016,2016,E,2016-01-07,2016-12-06,2016-06-22,337.0,0.9232876712328767,2015-2016
E_2016-2017,2017,E,2017-01-08,2017-12-08,2017-06-24,367.0,1.0054794520547945,2016-2017
nan,2011,F,2011-01-08,2011-12-08,2011-06-24,,,
F_2011-2012,2012,F,2012-01-07,2012-11-07,2012-06-07,349.0,0.9561643835616438,2011-2012
nan,2011,O,2011-05-13,2011-12-06,2011-08-24,,,
O_2011-2013,2013,O,2013-01-10,2013-09-30,2013-05-21,636.0,1.7424657534246575,2011-2013
O_2013-2014,2014,O,2014-06-15,2014-06-28,2014-06-21,396.0,1.084931506849315,2013-2014
O_2014-2015,2015,O,2015-01-05,2015-12-05,2015-06-21,365.0,1.0,2014-2015
O_2015-2016,2016,O,2016-03-25,2016-11-04,2016-07-15,390.0,1.0684931506849316,2015-2016
