,census,plot,min,max,mid,difference,diff_yrs,step
,c2011,E1-1,2011-05-22,2011-05-28,2011-05-25,,,
E1-1_c2011-c2012,c2012,E1-1,2012-03-16,2012-03-22,2012-03-19,299.0,0.8191780821917808,c2011-c2012
E1-1_c2012-c2014,c2014,E1-1,2014-01-17,2014-01-23,2014-01-20,672.0,1.841095890410959,c2012-c2014
E1-1_c2014-c2015,c2015,E1-1,2015-03-25,2015-03-31,2015-03-28,432.0,1.1835616438356165,c2014-c2015
E1-1_c2015-c2016,c2016,E1-1,2016-01-07,2016-06-30,2016-04-03,372.0,1.0191780821917809,c2015-c2016
E1-1_c2016-c2017,c2017,E1-1,2017-04-13,2017-04-19,2017-04-16,378.0,1.0356164383561643,c2016-c2017
,c2011,E1-2,2011-01-06,2011-05-31,2011-03-19,,,
E1-2_c2011-c2012,c2012,E1-2,2012-03-25,2012-03-31,2012-03-28,375.0,1.0273972602739727,c2011-c2012
E1-2_c2012-c2014,c2014,E1-2,2014-01-13,2014-12-01,2014-06-23,817.0,2.2383561643835614,c2012-c2014
E1-2_c2014-c2015,c2015,E1-2,2015-03-04,2015-09-04,2015-06-04,346.0,0.947945205479452,c2014-c2015
E1-2_c2015-c2016,c2016,E1-2,2016-06-18,2016-06-24,2016-06-21,383.0,1.0493150684931507,c2015-c2016
,c2011,E10-1,2011-02-12,2011-08-12,2011-05-13,,,
E10-1_c2011-c2012,c2012,E10-1,2012-11-21,2012-11-27,2012-11-24,561.0,1.536986301369863,c2011-c2012
E10-1_c2012-c2014,c2014,E10-1,2014-04-23,2014-04-29,2014-04-26,518.0,1.4191780821917808,c2012-c2014
E10-1_c2014-c2015,c2015,E10-1,2015-07-13,2015-12-07,2015-09-24,516.0,1.4136986301369863,c2014-c2015
E10-1_c2015-c2016,c2016,E10-1,2016-05-20,2016-05-26,2016-05-23,242.0,0.663013698630137,c2015-c2016
,c2011,E10-2,2011-10-12,2011-12-16,2011-11-13,,,
E10-2_c2011-c2012,c2012,E10-2,2012-01-12,2012-11-30,2012-06-21,221.0,0.6054794520547945,c2011-c2012
E10-2_c2012-c2014,c2014,E10-2,2014-03-18,2014-03-24,2014-03-21,638.0,1.747945205479452,c2012-c2014
E10-2_c2014-c2015,c2015,E10-2,2015-07-25,2015-07-31,2015-07-28,494.0,1.3534246575342466,c2014-c2015
E10-2_c2015-c2016,c2016,E10-2,2016-06-13,2016-12-06,2016-09-09,409.0,1.1205479452054794,c2015-c2016
E10-2_c2016-c2017,c2017,E10-2,2017-06-16,2017-06-22,2017-06-19,283.0,0.7753424657534247,c2016-c2017
,c2012,E100-1,2012-01-13,2012-12-01,2012-06-22,,,
E100-1_c2012-c2014,c2014,E100-1,2014-03-06,2014-09-06,2014-06-06,714.0,1.9561643835616438,c2012-c2014
E100-1_c2014-c2015,c2015,E100-1,2015-06-14,2015-06-20,2015-06-17,376.0,1.0301369863013699,c2014-c2015
E100-1_c2015-c2016,c2016,E100-1,2016-05-13,2016-12-05,2016-08-24,434.0,1.189041095890411,c2015-c2016
,c2012,E100-2,2012-01-17,2012-01-23,2012-01-20,,,
E100-2_c2012-c2014,c2014,E100-2,2014-01-06,2014-05-31,2014-03-19,789.0,2.1616438356164385,c2012-c2014
E100-2_c2014-c2015,c2015,E100-2,2015-06-24,2015-06-30,2015-06-27,465.0,1.273972602739726,c2014-c2015
E100-2_c2015-c2016,c2016,E100-2,2016-03-13,2016-12-03,2016-07-23,392.0,1.073972602739726,c2015-c2016
