,date,location,disturbance,census,An_ait,An_bar,An_van,An_sp,An_bal,An_koc,An_lat,An_maca,An_macu,An_tes,An_wat,Arm_ju,Arm_fl,Coq_cr,Cx_Cul1,Cx_pap,Cx_sca,Cx_gel,Cx_mim,Cx_qui,Cx_sit,Cx_vis,Cx_Lop,Cx_bit,Do_gan,He_sci,Ma_ann,Or_sp,Pr_ost,Stg_al,Ae_orb,Arm_co,Arm_sp,Col_pse,Ph_pro,Stg_sp,Ve_sp,plot,second_order,agb,forestquality,plt_sub_cen
0,2012-10-31,E_651,Twice,c1,0,0,0.0,4,17,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,651,6.05768192568402,Okay,E_651_c1
1,2012-01-11,E_651,Twice,c1,1,0,0.0,0,9,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,651,6.05768192568402,Okay,E_651_c1
2,2012-02-11,E_651,Twice,c1,0,0,0.0,0,7,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,651,6.05768192568402,Okay,E_651_c1
3,2012-05-11,OG2_727,Primary,c1,0,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,727,23.456774568320004,Very good,OG2_727_c1
4,2012-06-11,OG2_727,Primary,c1,0,0,0.0,1,2,0.0,2,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,727,23.456774568320004,Very good,OG2_727_c1
5,2012-07-11,OG2_727,Primary,c1,0,0,0.0,0,1,0.0,15,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,727,23.456774568320004,Very good,OG2_727_c1
6,2012-12-11,E_659,Twice,c1,0,0,0.0,0,7,0.0,0,2,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,659,6.937361814752,Good,E_659_c1
7,2012-11-13,E_659,Twice,c1,0,0,0.0,0,5,0.0,2,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,659,6.937361814752,Good,E_659_c1
8,2012-11-14,E_659,Twice,c1,1,0,0.0,0,7,0.0,1,2,2,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,659,6.937361814752,Good,E_659_c1
9,2012-11-17,E_659,Twice,c1,0,0,0.0,0,11,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,659,6.937361814752,Good,E_659_c1
