,census,plot,min,max,mid,difference,diff_yrs,step
,c1,BNorth,2011-07-12,2011-07-14,2011-07-13,,,
BNorth_c1-c2,c2,BNorth,2012-07-04,2013-05-09,2012-12-05,511.0,1.4,c1-c2
BNorth_c2-c3,c3,BNorth,2015-09-14,2015-10-13,2015-09-28,1027.0,2.813698630136986,c2-c3
BNorth_c3-c4,c4,BNorth,2016-09-19,2016-09-22,2016-09-20,358.0,0.9808219178082191,c3-c4
,c1,BSouth,2011-07-27,2011-07-30,2011-07-28,,,
BSouth_c1-c2,c2,BSouth,2012-08-04,2012-08-30,2012-08-17,386.0,1.0575342465753426,c1-c2
BSouth_c2-c3,c3,BSouth,2015-10-01,2015-10-05,2015-10-03,1142.0,3.128767123287671,c2-c3
BSouth_c3-c4,c4,BSouth,2016-09-20,2016-09-22,2016-09-21,354.0,0.9698630136986301,c3-c4
,c1,Belian,2011-06-10,2011-08-06,2011-07-08,,,
Belian_c1-c2,c2,Belian,2012-11-10,2013-12-17,2013-05-30,692.0,1.895890410958904,c1-c2
Belian_c2-c3,c3,Belian,2016-01-19,2016-10-19,2016-06-04,1101.0,3.0164383561643837,c2-c3
,c1,DC1,2011-04-10,2012-12-10,2012-02-09,,,
DC1_c1-c2,c2,DC1,2016-10-17,2016-10-17,2016-10-17,1712.0,4.69041095890411,c1-c2
,c1,DC2,2013-02-09,2014-12-03,2014-01-06,,,
DC2_c1-c2,c2,DC2,2016-10-12,2016-10-12,2016-10-12,1010.0,2.767123287671233,c1-c2
,c1,E,2011-05-28,2011-07-01,2011-06-14,,,
E_c1-c2,c2,E,2012-05-12,2013-05-08,2012-11-08,513.0,1.4054794520547946,c1-c2
E_c2-c3,c3,E,2015-09-21,2015-10-12,2015-10-01,1057.0,2.8958904109589043,c2-c3
E_c3-c4,c4,E,2016-09-23,2016-09-30,2016-09-26,361.0,0.989041095890411,c3-c4
,c1,LF,2011-07-17,2011-07-18,2011-07-17,,,
LF_c1-c2,c2,LF,2012-10-11,2012-12-06,2012-11-08,480.0,1.3150684931506849,c1-c2
LF_c2-c3,c3,LF,2015-10-07,2015-10-09,2015-10-08,1064.0,2.915068493150685,c2-c3
LF_c3-c4,c4,LF,2016-09-27,2016-09-29,2016-09-28,356.0,0.9753424657534246,c3-c4
,c1,Seraya,2011-08-11,2011-08-15,2011-08-13,,,
Seraya_c1-c2,c2,Seraya,2014-03-19,2014-05-16,2014-04-17,978.0,2.6794520547945204,c1-c2
Seraya_c2-c3,c3,Seraya,2016-08-16,2016-10-15,2016-09-15,882.0,2.4164383561643836,c2-c3
,c1,Tower,2011-06-16,2011-07-04,2011-06-25,,,
Tower_c1-c2,c2,Tower,2012-06-21,2012-06-25,2012-06-23,364.0,0.9972602739726028,c1-c2
Tower_c2-c3,c3,Tower,2013-07-15,2013-08-17,2013-07-31,403.0,1.104109589041096,c2-c3
Tower_c3-c4,c4,Tower,2015-08-03,2015-08-05,2015-08-04,734.0,2.010958904109589,c3-c4
