subplotx,Actinodaphne angustifolia,Actinodaphne borneensis,Actinodaphne indet,Actinodaphne macrophylla,Adenanthera kostermansii,Adinandra borneensis,Adinandra dumosa,Aglaia angustifolia,Aglaia argentea,Aglaia crassinervia,Aglaia elliptica,Aglaia indet,Aglaia leptantha,Aglaia luzoniensis,Aglaia macrocarpa,Aglaia odoratissima,Aglaia oligophylla,Aglaia palembanica,Aglaia silvestris,Aglaia squamulosa,Aglaia tomentosa,Aidia borneensis,Alangium havilandii,Alangium javanicum,Alphonsea javanica,Alseodaphne bancana,Alseodaphne oblanceolata,Alstonia angustiloba,Alstonia iwahigensis,Anisophyllea corneri,Anisophyllea indet,Anisoptera costata,Antiaris toxicaria,Antidesma coriaceum,Antidesma cuspidatum,Antidesma leucopodum,Antidesma neurocarpum,Antidesma stipulare,Antidesma tomentosum,Aphanamixis borneensis,Aphanamixis polystachya,Aporosa benthamiana,Aporosa confusa,Aporosa elmeri,Aporosa falcifera,Aporosa frutescens,Aporosa gigi-tomentose,Aporosa grandistipula,Aporosa granularis,Aporosa illustris,Aporosa indet,Aporosa lucida,Aporosa lunata,Aporosa nervosa,Aquilaria beccariana,Aquilaria malaccensis,Archidendron clypearia,Archidendron ellipticum,Archidendron microcarpum,Ardisia colorata,Ardisia macrophylla,Ardisia purpurea,Artocarpus anisophyllus,Artocarpus elasticus,Artocarpus glaucus,Artocarpus integer,Artocarpus kemando,Artocarpus lanceifolius,Artocarpus odoratissimus,Artocarpus tamaran,Atuna racemosa,Baccaurea angulata,Baccaurea edulis,Baccaurea indet,Baccaurea lanceolata,Baccaurea latifolia,Baccaurea macrocarpa,Baccaurea odoratissima,Baccaurea parviflora,Baccaurea pubera,Baccaurea tetrandra,Barringtonia indet,Barringtonia lanceolata,Barringtonia macrostachya,Barringtonia sarcostachys,Beilschmiedia cuadrae,Beilschmiedia dicxyonsura,Beilschmiedia lucidula,Beilschmiedia micrantha,Beilschmiedia tawaensis,Bhesa paniculata,Blumeodendron kurzii,Blumeodendron tokbrai,Bridelia glauca,Bridelia penangiana,Bridelia pustulata,Brownlowia peltata,Buchanania arborescens,Buchanania sessifolia,Buchanania sessilifolia,Callicarpa pentandra,Calophyllum blancoi,Calophyllum gracilipes,Calophyllum macrocarpum,Calophyllum pyriforme,Calophyllum woodii,Campylospermum serratum,Canarium decumanum,Canarium denticulatum,Canarium indet,Canarium littorale,Canarium odontophyllum,Canarium pilosum,Canarium tomentosum,Carallia borneensis,Carallia brachiata,Caryodaphnopsis tonkinensis,Casearia kostermansii,Castanopsis hypophoenicea,Castanopsis inermis,Cephalomappa malloticarpa,Chionanthus curvicarpus,Chionanthus indet,Chionanthus macrocarpus,Chionanthus pluriflorus,Chisocheton ceramicus,Chisocheton macranthus,Chisocheton patens,Chisocheton patens ,Chisocheton pentandrus,Chisocheton sarawakanus,Cleistanthus hirsutulus,Cleistanthus hylandii,Cleistanthus indet,Cleistanthus myrianthus,Cleistanthus paxii,Cleistanthus podopyxis,Cleistanthus pubens,Cleistanthus rufescens,Coelostegia borneensis,Cowiea borneensis,Cratoxylum cochinchinense,Cratoxylum sumatranum,Croton griffithii,Croton oblongus,Crudia reticulata,Crudia subsimplicifolia,Crudia tenuipes,Crypteronia griffithii,Cryptocarya erectinervia,Cryptocarya ferrea,Cryptocarya nigra,Cyathocalyx deltoideus,Cynometra mirabilis,Dacryodes costata,Dacryodes laxa,Dacryodes rostrata,Dacryodes rugosa,Dasymaschalon ellipticum,Decaspermum parviflorum,Dehaasia caesia,Dehaasia incrassata,Dendrocnide elliptica,Dialium indum,Dialium kunstleri,Dialium platysepalum,Dillenia borneensis,Dillenia excelsa,Dimocarpus dentatus,Dimocarpus longan,Diospyros andamanica,Diospyros cauliflora,Diospyros curranii,Diospyros daemona,Diospyros demona,Diospyros dictyoneura,Diospyros elliptifolia,Diospyros eriantha,Diospyros frutescens,Diospyros indet,Diospyros macrophylla,Diospyros muricata,Diospyros pilosanthera,Diospyros squamifolia,Diospyros toposia,Diospyros tuberculata,Diplodiscus paniculatus,Diplodiscus parviflorus,Diplospora malaccensis,Dipterocarpus applanatus,Dipterocarpus caudiferus,Dipterocarpus confertus,Dipterocarpus gracilis,Dipterocarpus indet,Dipterocarpus kunstleri,Dracontomelon costatum,Dryobalanops lanceolata,Drypetes castilloi,Drypetes crassipes,Drypetes eriocarpa,Drypetes longifolia,Drypetes polyneura,Duabanga moluccana,Durio grandiflorus,Durio graveolens,Durio oxleyanus,Durio zibethinus,Dysoxylum cauliflorum,Dysoxylum cyrtobotryum,Dysoxylum densiflorum,Dysoxylum excelsum,Dysoxylum indet,Elaeocarpus brunnescens,Elaeocarpus floribundus,Elaeocarpus glaber,Elaeocarpus macrocerus,Elaeocarpus pedunculatus,Elaeocarpus stipularis,Endiandra rubescens,Endospermum peltatum,Enicosanthum erianthoides,Enicosanthum grandiflorum,Enicosanthum paradoxum,Erycibe grandifolia,Eusideroxylon zwageri,Ficus beccarii,Ficus caulocarpa,Ficus dubia,Ficus geocharis,Ficus hispida,Ficus indet,Ficus megaleia,Ficus microcarpa,Ficus septica,Ficus sinuata,Ficus subterranea,Ficus treubii,Ficus uncinata,Ficus variegata,Flacourtia rukam,Fordia brachybotrys,Fordia splendidissima,Galearia fulva,Garcinia benthamiana,Garcinia forbesii,Garcinia mangostana,Garcinia nervosa,Garcinia parvifolia,Gironniera nervosa,Glochidion borneensis,Glochidion elmeri,Glochidion indet,Glochidion lanceisepalum,Glochidion lutescens,Glochidion rubrum,Gluta aptera,Gluta indet,Gluta wallichii,Glycosmis macrantha,Goniothalamus roseus,Gonystylus affinis,Gonystylus keithii,Gymnacranthera forbesii,Heritiera elata,Heritiera simplicifolia,Heynea trijuga,Homalium foetidum,Hopea plagata,Hopea sangal,Horsfieldia borneensis,Horsfieldia crassifolia,Horsfieldia splendida,Hubera rumphii,Hydnocarpus anomala,Hydnocarpus anomalus,Hydnocarpus borneensis,Hydnocarpus indet,Hydnocarpus polypetalus,Hydnocarpus woodii,Indet indet,Intsia bijuga,Irvingia malayana,Ixonanthes petiolaris,Ixora blumei,Jackiopsis indet,Kayea longifolia,Kayea oblongifolia,Knema conferta,Knema elmeri,Knema glauca,Knema glomerata,Knema latericia,Knema latifolia,Knema laurina,Knema oblongata,Knema pulchra,Koilodepas longifolium,Koompassia excelsa,Koordersiodendron pinnatum,Lansium domesticum,Leea aculeata,Licania splendens,Lindera lucida,Lithocarpus blumeanus,Lithocarpus conocarpus,Lithocarpus echinifer,Lithocarpus elegans,Lithocarpus ewyekii,Lithocarpus gracilis,Lithocarpus indet,Lithocarpus leptogyne,Lithocarpus lucidus,Lithocarpus nieuwenhuisii,Lithocarpus orocola,Lithocarpus revolutus,Lithocarpus sundaicus,Lithocarpus urceolaris,Litsea accedens,Litsea angulata,Litsea caesia,Litsea castanea,Litsea caulocarpa,Litsea cuprea,Litsea elliptica,Litsea erectinervia,Litsea ferruginea,Litsea ficoidea,Litsea garciae,Litsea grandis,Litsea indet,Litsea lancifolia,Litsea oppositifolia,Litsea orocola,Litsea rubiginosa,Lophopetalum beccariana,Lophopetalum beccarianum,Lophopetalum glabrum,Lophopetalum indet,Lophopetalum javanicum,Lophopetalum multinervium,Ludekia borneensis,Maasia Sumatrana,Maasia glauca,Maasia sumatrana,Macaranga bancana,Macaranga conifera,Macaranga gigantea,Macaranga hypoleuca,Macaranga indet,Macaranga indistincta,Macaranga pearsonii,Macaranga winkleri,Madhuca dubardii,Madhuca elmeri,Madhuca kingiana,Madhuca korthalsii,Madhuca spectabilis,Maesa macrothrysa,Magnolia borneensis,Magnolia candollei,Magnolia candollii,Magnolia champaca,Magnolia gigantifolia,Magnolia indet,Magnolia liliifera,Magnolia tsiampacca,Mallotus indet,Mallotus korthalsii,Mallotus lackeyi,Mallotus leucodermis,Mallotus miquelianus,Mallotus mollissimus,Mallotus muticus,Mallotus paniculatus,Mallotus peltatus,Mallotus penangensis,Mallotus philippensis,Mallotus stipularis,Mallotus wrayi,Mangifera decandra,Mangifera odorata,Mastixia trichotoma,Meiogyne virgata,Melanochyla auriculata,Melanochyla bullata,Melanochyla tomentosa,Melicope accedens,Melicope confusa,Melicope indet,Melicope lunu-ankenda,Meliosma sumatrana,Memecylon laevigatum,Memecylon oleaefolium,Memecylon oleifolium,Memecylon paniculatum,Mesua borneensis,Mesua macrantha,Microcos antidesmifolia,Microcos crassifolia,Microcos fibrocarpa,Microcos indet,Microcos triflora,Miliusa macropoda,Mischocarpus pentapetalus,Monoon erianthoides,Monoon grandiflorum,Monoon hookerianum,Monoon xanthopetalum,Myristica cinnamomea,Myristica maxima,Myristica smythiesii,Nauclea officinalis,Nauclea subdita,Neesia strigosa,Neesia synandra,Neo-uvaria acuminatissima,Neolamarckia cadamba,Neonauclea gigantea,Neoscortechinia kingii,Neoscortechinia philippinensis,Nephelium Ramboutan-ake,Nephelium cuspidatum,Nephelium mangayi,Nephelium ramboutan-ake,Nephelium rambutan,Nephelium subfalcatum,Nephelium uncinatum,Nothaphoebe umbelliflora,Nothophoebe canascens,Ochanostachys amentacea,Octomeles sumatrana,Oreocnide trinervis,Orophea myriantha,Palaquium beccarianum,Palaquium dasyphyllum,Palaquium indet,Palaquium obovatum,Palaquium rostratum,Palaquium sericeum,Paranephelium macrophyllum,Paranephelium xestophyllum,Parartocarpus bracteata,Parashorea malaanonan,Parashorea smythiesii,Parashorea tomentella,Parinari oblongifolia,Parishia insignis,Payena acuminata,Payena ferruginea,Payena microphylla,Peltophorum racemosum,Pentace adenophora,Pentace erectinervia,Pentace laxiflora,Phaeanthus splendens,Phoebe grandis,Pipturus argentus,Planchonia brevistipitata,Planchonia valida,Pleiocarpidia polyneura,Pleiocarpidia sandakanica,Polyalthia borneensis,Polyalthia cauliflora,Polyalthia indet,Polyalthia obliqua,Polyalthia xanthopetala,Polyosma integrifolia,Pometia pinnata,Popowia hirta,Popowia odoardi,Popowia pisocarpa,Porterandia anisophylla,Praravinia indet,Praravinia subtomentosa,Prunus beccarii,Prunus javanica,Prunus polystachya,Pseuduvaria borneensis,Pseuduvaria pamattonis,Pseuduvaria reticulata,Psydrax dicoccos,Pternandra caerulescens,Pterocymbium tubulatum,Pterospermum elongatum,Pterospermum javanicum,Pterygota alata,Ptychopyxis arborea,Ptychopyxis bacciformis,Pyrenaria tawauensis,Quercus argentata,Quercus lowii,Quercus merrillii,Reinwardtiodendron humile,Rinorea indet,Rothmannia schoemanii,Ryparosa acuminata,Ryparosa hullettii,Sageraea elliptica,Sageraea sarawakensis,Santiria apiculata,Santiria griffithii,Santiria laevigata,Santiria tomentosa,Saraca declinata,Saurauia indet,Saurauia tristyla,Scaphium macropodum,Scorodocarpus borneensis,Semecarpus bunburyana,Semecarpus cuneiformis,Shorea agami,Shorea almon,Shorea angustifolia,Shorea argentifolia,Shorea atrinervosa,Shorea beccariana,Shorea bracteolata,Shorea dasyphylla,Shorea faguetiana,Shorea falciferoides,Shorea fallax,Shorea gibbosa,Shorea guiso,Shorea indet,Shorea johorensis,Shorea laevis,Shorea leprosula,Shorea leptoderma,Shorea macrophylla,Shorea macroptera,Shorea ovalis,Shorea ovata,Shorea parvifolia,Shorea parvistipulata,Shorea pauciflora,Shorea superba,Shorea symingtonii,Shorea xanthopetala,Shorea xanthophylla,Sindora irpicina,Sindora velutina,Sloanea javanica,Spathiostemon javensis,Stelechocarpus cauliflorus,Sterculia coccinea,Sterculia cuspidata,Sterculia parviflora,Sterculia rubiginosa,Sterculia stipulata,Streblus glaber,Strombosia ceylanica,Sympetalandra borneensis,Sympetalandra unijuga,Symplocos fasciculata,Symplocos odoratissima,Syzygium antisepticum,Syzygium borneense,Syzygium caudatilimbum,Syzygium chloranthum,Syzygium christmannii,Syzygium claviflorum,Syzygium creaghii,Syzygium elliptilimbum,Syzygium elopurae,Syzygium fastigiatum,Syzygium grande,Syzygium griffithii,Syzygium havilandii,Syzygium hirtum,Syzygium imperiale,Syzygium indet,Syzygium kunstleri,Syzygium leucocladum,Syzygium linearicarpum,Syzygium lineatum,Syzygium longiflorum,Syzygium memecylon,Syzygium myrtifolium,Syzygium napiforme,Syzygium palawanense,Syzygium pancheri,Syzygium panzeri,Syzygium perpuncticulatum,Syzygium pustulatum,Syzygium racemosum,Syzygium rheophyticum,Syzygium scortechinii,Syzygium tawahense,Syzygium tenuicaudatum,Talauma gitingensis,Teijsmanniodendron bogoriense,Terminalia citrina,Terminalia foetidissima,Tetramerista glabra,Trema orientalis,Trigoniastrum hypoleucum,Trigonobalanus verticillata,Trigonopleura malayana,Tristaniopsis obovata,Tristaniopsis whiteana,Tristiropsis acutangula,Turpinia sphaerocarpa,Urophyllum congestifolium,Urophyllum glabrum,Urophyllum griffithianum,Vatica albiramis,Vatica dulitensis,Vatica oblongifolia,Vatica odorata,Vatica sarawakensis,Vatica umbonata,Vitex pinnata,Walsura pinnata,Xanthophyllum adenotus,Xanthophyllum affine,Xanthophyllum ellipticum,Xanthophyllum flavescens,Xanthophyllum indet,Xanthophyllum pachycarpon,Xanthophyllum stipitatum,Xanthophyllum vitellinum,Xanthopyllum flavescens,Xylopia ferruginea,Xylopia fusca,Xylopia stenopetala,Ziziphus angustifolia,indet indet,orophea myriantha,scaphium macropodum
B_North1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,
B_North10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
B_North12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
B_North15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North18,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North19,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
